#Parameters = {cpw=15; sigma_z=0.4; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
# Beta-weighted transverse dipolar bunch wake, x-plane
# beta_factor is dimensionless: sum(beta_i/<beta>)
# Z_perp unit: Ohm/m
#"s / mm"	"W_perp_beta [V/pC/m]"
#------------------------
-9.983088851400	-4.7398996078189e-14
-9.953109605600	-7.2279994019526e-15
-9.923130359800	-8.8959992639417e-15
-9.893151114000	-9.7299991949363e-16
-9.863171868200	-4.1699996549727e-14
-9.833192622400	-5.4209995514645e-15
-9.803213376600	-8.6179992869435e-15
-9.773234130800	-1.4177998826907e-14
-9.743254885000	-5.2402995664157e-14
-9.713275639200	-2.7521997722820e-14
-9.683296393400	-4.5869996204699e-15
-9.653317147600	1.1814999022423e-14
-9.623337901800	-2.3212998079348e-14
-9.593358656000	6.9499994249545e-16
-9.563379410200	-7.6449993674499e-15
-9.533400164400	1.4594998792404e-15
-9.503420918600	-7.9229993444481e-15
-9.473441672800	-2.6409997814827e-15
-9.443462427000	8.3052493128206e-15
-9.413483181200	-2.0849998274863e-14
-9.383503935400	-7.3843743890141e-15
-9.353524689600	-1.2874873934728e-14
-9.323545443800	-5.6251557845725e-15
-9.293566198000	-5.5573932901792e-14
-9.263586952200	-5.6121245356507e-14
-9.233607706400	-3.3846497199528e-14
-9.203628460600	2.6062497843579e-15
-9.173649214800	-4.6981996112692e-14
-9.143669969000	-2.6965997768823e-14
-9.113690723200	-1.5706998700397e-14
-9.083711477400	-3.3707497211029e-14
-9.053732231600	-2.9954497521554e-14
-9.023752985800	-2.7174497751572e-14
-8.993773740000	4.7259996089690e-15
-8.963794494200	1.1953999010922e-14
-8.933815248400	-1.8486998470379e-14
-8.903836002600	2.6409997814827e-15
-8.873856756800	2.5992997849330e-14
-8.843877511000	4.1838996538226e-14
-8.813898265200	1.9042998424375e-14
-8.783919019400	4.4479996319709e-15
-8.753939773600	3.2525997308787e-14
-8.723960527800	5.8796995135115e-14
-8.693981282000	-4.1699996549727e-15
-8.664002036200	5.1429995744663e-14
-8.634022790400	1.7374998562386e-14
-8.604043544600	5.0873995790667e-14
-8.574064298800	-8.6179992869435e-15
-8.544085053000	4.4479996319709e-15
-8.514105807200	9.7299991949363e-15
-8.484126561400	5.6711995307628e-14
-8.454147315600	7.7839993559490e-15
-8.424168069800	4.3089996434718e-14
-8.394188824000	1.2787998941916e-14
-8.364209578200	5.1429995744663e-14
-8.334230332400	3.8919996779745e-14
-8.304251086600	5.4765995468641e-14
-8.274271840800	5.4765995468641e-14
-8.244292595000	1.1064399084528e-13
-8.214313349200	4.1977996526725e-14
-8.184334103400	7.4781993812510e-14
-8.154354857600	-1.4177998826907e-14
-8.124375611800	1.4733998780903e-14
-8.094396366000	-3.3915997193778e-14
-8.064417120200	2.7799997699818e-14
-8.034437874400	-8.0619993329472e-15
-8.004458628600	6.3105994778587e-14
-7.974479382800	-3.0023997515803e-14
-7.944500137000	3.3637997216780e-14
-7.914520891200	-3.8919996779745e-14
-7.884541645400	3.5861997032765e-14
-7.854562399600	-3.5305997078769e-14
-7.824583153800	1.5567998711898e-14
-7.794603908000	-1.0007999171934e-14
-7.764624662200	5.7267995261625e-14
-7.734645416400	-5.1707995721661e-14
-7.704666170600	1.4733998780903e-14
-7.674686924800	-5.0039995859672e-15
-7.644707679000	5.2819995629654e-14
-7.614728433200	-3.3359997239781e-15
-7.584749187400	5.1151995767665e-14
-7.554769941600	3.4193997170776e-14
-7.524790695800	9.1739992409399e-14
-7.494811450000	-6.1159994939599e-15
-7.464832204200	6.3383994755585e-14
-7.434852958400	-1.2509998964918e-14
-7.404873712600	2.2239998159854e-14
-7.374894466800	-2.8077997676816e-14
-7.344915221000	6.6719994479563e-15
-7.314935975200	-3.8363996825749e-14
-7.284956729400	5.2541995652656e-14
-7.254977483600	-5.4765995468641e-14
-7.224998237800	8.0619993329472e-15
-7.195018992000	-7.0611994157537e-14
-7.165039746200	-2.2239998159854e-15
-7.135060500400	-8.1731993237465e-14
-7.105081254600	-3.4749997124772e-14
-7.075102008800	-7.7839993559490e-14
-7.045122763000	-2.7799997699818e-16
-7.015143517200	-1.0980999091428e-13
-6.985164271400	-5.7545995238623e-14
-6.955185025600	-4.9622995894175e-14
-6.925205779800	-1.2926998930415e-14
-6.895226534000	-5.0595995813669e-14
-6.865247288200	-1.3760998861410e-14
-6.835268042400	-3.7251996917756e-14
-6.805288796600	1.9876998355370e-14
-6.775309550800	-1.1258999068426e-13
-6.745330305000	-5.8240995181118e-14
-6.715351059200	-3.9336996745242e-14
-6.685371813400	1.5567998711898e-14
-6.655392567600	-1.9737998366871e-14
-6.625413321800	-1.3343998895913e-14
-6.595434076000	-1.1328499062676e-14
-6.565454830200	2.1822998194357e-14
-6.535475584400	-5.1916495704410e-14
-6.505496338600	-3.0232497498552e-14
-6.475517092800	-8.4581493001696e-14
-6.445537847000	-3.5444997067268e-14
-6.415558601200	-7.0994244125910e-14
-6.385579355400	-1.8764998447377e-14
-6.355600109600	-5.0891370789229e-14
-6.325620863800	-1.0833311603648e-14
-6.295641618000	-1.1688270126658e-13
-6.265662372200	-7.7874743556615e-14
-6.235683126400	-4.8163496014934e-14
-6.205703880600	-1.1363249059801e-14
-6.175724634800	-3.4298247162150e-14
-6.145745389000	1.1119999079927e-14
-6.115766143200	-1.9042998424375e-14
-6.085786897400	4.3089996434718e-15
-6.055807651600	-6.0881994962601e-14
-6.025828405800	-5.9352995089111e-14
-5.995849160000	-2.6965997768823e-14
-5.965869914200	1.3899998849909e-15
-5.935890668400	8.0619993329472e-15
-5.905911422600	1.1258999068426e-14
-5.875932176800	2.2239998159854e-15
-5.845952931000	2.0293998320867e-14
-5.815973685200	-4.4618996308208e-14
-5.785994439400	-5.2819995629654e-14
-5.756015193600	-3.1691997377792e-14
-5.726035947800	-9.1739992409399e-15
-5.696056702000	-3.0440997481301e-14
-5.666077456200	-1.2509998964918e-14
-5.636098210400	5.2819995629654e-15
-5.606118964600	1.6679998619891e-14
-5.576139718800	-2.2239998159854e-14
-5.546160473000	-3.8085996848750e-14
-5.516181227200	2.7243997745822e-14
-5.486201981400	3.6695996963760e-14
-5.456222735600	3.7251996917756e-14
-5.426243489800	4.2533996480721e-14
-5.396264244000	5.4209995514645e-14
-5.366284998200	5.3375995583650e-14
-5.336305752400	1.5011998757902e-14
-5.306326506600	-3.5027997101771e-14
-5.276347260800	3.7251996917756e-14
-5.246368015000	2.1961998182856e-14
-5.216388769200	3.6417996986761e-14
-5.186409523400	1.6679998619891e-14
-5.156430277600	5.4209995514645e-14
-5.126451031800	3.8641996802747e-14
-5.096471786000	2.9189997584809e-14
-5.066492540200	-1.8625998458878e-14
-5.036513294400	7.2557993996525e-14
-5.006534048600	5.3375995583650e-14
-4.976554802800	7.5337993766506e-14
-4.946575557000	4.4757996296707e-14
-4.916596311200	1.0258199151233e-13
-4.886617065400	6.8109994364554e-14
-4.856637819600	5.9491995077610e-14
-4.826658573800	4.1699996549727e-15
-4.796679328000	1.2704598948817e-13
-4.766700082200	9.8689991834353e-14
-4.736720836400	1.3455198886712e-13
-4.706741590600	1.0536199128231e-13
-4.676762344800	1.5289998734900e-13
-4.646783099000	1.0841999102929e-13
-4.616803853200	1.0675199116730e-13
-4.586824607400	6.3661994732583e-14
-4.556845361600	1.9181998412874e-14
-4.526866115800	-7.7839993559490e-15
-4.496886870000	4.7259996089690e-14
-4.466907624200	1.1397999056925e-14
-4.436928378400	5.0039995859672e-14
-4.406949132600	-4.8649995974681e-14
-4.376969886800	5.2819995629654e-15
-4.346990641000	-6.6441994502565e-14
-4.317011395200	3.1691997377792e-14
-4.287032149400	-8.3399993099454e-15
-4.257052903600	5.2541995652656e-14
-4.227073657800	2.0293998320867e-14
-4.197094412000	5.5877995376634e-14
-4.167115166200	-6.9499994249545e-15
-4.137135920400	5.5599995399636e-15
-4.107156674600	-5.3375995583650e-14
-4.077177428800	3.2525997308787e-14
-4.047198183000	2.7799997699818e-16
-4.017218937200	6.6163994525567e-14
-3.987239691400	2.5297997906834e-14
-3.957260445600	3.1969997354791e-14
-3.927281199800	-1.6679998619891e-14
-3.897301954000	3.4193997170776e-14
-3.867322708200	-5.2263995675658e-14
-3.837343462400	1.1022699087978e-13
-3.807364216600	4.5035996273705e-14
