#Parameters = {cpw=15; sigma_z=0.4; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
# Beta-weighted transverse dipolar bunch wake, y-plane
# beta_factor is dimensionless: sum(beta_i/<beta>)
# Z_perp unit: Ohm/m
#"s / mm"	"W_perp_beta [V/pC/m]"
#------------------------
-9.983088851400	-6.7831994387556e-14
-9.953109605600	-1.6401998642893e-14
-9.923130359800	-4.7259996089690e-14
-9.893151114000	-3.5027997101771e-14
-9.863171868200	-3.5166997090270e-14
-9.833192622400	-1.6679998619891e-14
-9.803213376600	-2.5297997906834e-14
-9.773234130800	-3.5583997055767e-14
-9.743254885000	-3.8224996837250e-14
-9.713275639200	-2.8077997676816e-14
-9.683296393400	-2.9745997538805e-14
-9.653317147600	-3.8641996802747e-14
-9.623337901800	-3.6626496969510e-14
-9.593358656000	-2.6757497786075e-14
-9.563379410200	-2.9745997538805e-14
-9.533400164400	-4.0587996641734e-14
-9.503420918600	-4.5035996273705e-14
-9.473441672800	-2.4533497970089e-14
-9.443462427000	-2.2448498142603e-14
-9.413483181200	-3.1344497406545e-14
-9.383503935400	-2.4516122971527e-14
-9.353524689600	-4.6877746121318e-14
-9.323545443800	-2.3608279296642e-14
-9.293566198000	-7.7614118578179e-14
-9.263586952200	-4.1057121602919e-14
-9.233607706400	-2.4915747938462e-14
-9.203628460600	-2.5541247886708e-14
-9.173649214800	-4.5800496210450e-14
-9.143669969000	-3.5444997067268e-14
-9.113690723200	-2.0780498280614e-14
-9.083711477400	-2.0849998274863e-15
-9.053732231600	-4.1977996526725e-14
-9.023752985800	-2.2448498142603e-14
-8.993773740000	-1.5428998723399e-14
-8.963794494200	2.7799997699818e-15
-8.933815248400	-3.7390996906255e-14
-8.903836002600	-6.1159994939599e-15
-8.873856756800	-1.1675999033924e-14
-8.843877511000	1.2370998976419e-14
-8.813898265200	-4.1699996549727e-15
-8.783919019400	5.9769995054608e-15
-8.753939773600	1.5150998746401e-14
-8.723960527800	5.0039995859672e-14
-8.693981282000	-4.7259996089690e-15
-8.664002036200	3.0857997446798e-14
-8.634022790400	-7.2279994019526e-15
-8.604043544600	1.5011998757902e-14
-8.574064298800	-2.8355997653814e-14
-8.544085053000	2.3907998021843e-14
-8.514105807200	2.8355997653814e-14
-8.484126561400	3.7251996917756e-14
-8.454147315600	-1.1119999079927e-14
-8.424168069800	4.2533996480721e-14
-8.394188824000	1.3065998918914e-14
-8.364209578200	5.9213995100612e-14
-8.334230332400	1.9459998389873e-14
-8.304251086600	5.6711995307628e-14
-8.274271840800	2.5019997929836e-14
-8.244292595000	7.3947993881516e-14
-8.214313349200	3.0579997469800e-14
-8.184334103400	5.2263995675658e-14
-8.154354857600	-2.8633997630812e-14
-8.124375611800	1.2509998964918e-14
-8.094396366000	-1.0563999125931e-14
-8.064417120200	2.5853997860831e-14
-8.034437874400	-9.7299991949363e-15
-8.004458628600	3.4193997170776e-14
-7.974479382800	-1.9181998412874e-14
-7.944500137000	2.3907998021843e-14
-7.914520891200	-3.4471997147774e-14
-7.884541645400	1.5845998688896e-14
-7.854562399600	-2.0015998343869e-14
-7.824583153800	1.6123998665894e-14
-7.794603908000	-4.7259996089690e-15
-7.764624662200	3.9197996756743e-14
-7.734645416400	-9.7299991949363e-15
-7.704666170600	2.6965997768823e-14
-7.674686924800	2.7799997699818e-15
