#Parameters = {cpw=15; sigma_z=0.4; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
#"s / mm"	"Z [Real Part]"
#------------------------
-9.983088851400	1.3760998861410e-14
-9.953109605600	2.0849998274863e-14
-9.923130359800	1.6540998631392e-14
-9.893151114000	2.0849998274863e-14
-9.863171868200	2.2656998125352e-14
-9.833192622400	2.1544998217359e-14
-9.803213376600	6.9499994249545e-15
-9.773234130800	1.5289998734900e-14
-9.743254885000	7.0889994134536e-15
-9.713275639200	1.1953999010922e-14
-9.683296393400	5.6989995284627e-15
-9.653317147600	2.2934998102350e-14
-9.623337901800	5.4209995514645e-15
-9.593358656000	1.4872998769403e-14
-9.563379410200	-4.7259996089690e-15
-9.533400164400	5.9769995054608e-15
-9.503420918600	-1.0563999125931e-14
-9.473441672800	8.7569992754426e-15
-9.443462427000	-1.7235998573887e-14
-9.413483181200	7.0889994134536e-15
-9.383503935400	-1.1953999010922e-14
-9.353524689600	9.1739992409399e-15
-9.323545443800	-4.8649995974681e-15
-9.293566198000	-8.7569992754426e-15
-9.263586952200	-1.2509998964918e-14
-9.233607706400	-3.8919996779745e-15
-9.203628460600	-2.0015998343869e-14
-9.173649214800	-5.9769995054608e-15
-9.143669969000	-8.4789992984445e-15
-9.113690723200	2.9189997584809e-15
-9.083711477400	-1.6818998608390e-14
-9.053732231600	-6.2549994824590e-15
-9.023752985800	-2.0154998332368e-14
-8.993773740000	1.6679998619891e-15
-8.963794494200	-1.7235998573887e-14
-8.933815248400	3.4749997124772e-15
-8.903836002600	-1.6401998642893e-14
-8.873856756800	3.0579997469800e-15
-8.843877511000	-1.8903998435876e-14
-8.813898265200	-8.0619993329472e-15
-8.783919019400	-2.1266998240361e-14
-8.753939773600	-4.1699996549727e-16
-8.723960527800	-1.5567998711898e-14
-8.693981282000	4.1699996549727e-15
-8.664002036200	-1.6957998596889e-14
-8.634022790400	5.0039995859672e-15
-8.604043544600	-8.0619993329472e-15
-8.574064298800	-4.0309996664736e-15
-8.544085053000	-2.2656998125352e-14
-8.514105807200	1.8069998504882e-15
-8.484126561400	-1.3621998872911e-14
-8.454147315600	8.6179992869435e-15
-8.424168069800	-6.1159994939599e-15
-8.394188824000	7.0889994134536e-15
-8.364209578200	-9.5909992064372e-15
-8.334230332400	-1.0424999137432e-14
-8.304251086600	-1.9807498361120e-14
-8.274271840800	6.2549994824590e-16
-8.244292595000	-9.7994991891858e-15
-8.214313349200	5.0734995802168e-15
-8.184334103400	-1.5081498752151e-14
-8.154354857600	-2.1544998217359e-15
-8.124375611800	-2.0154998332368e-14
-8.094396366000	-1.4664498786654e-14
-8.064417120200	-2.9676497544556e-14
-8.034437874400	-6.1854994882095e-15
-8.004458628600	-1.4490748801030e-14
-7.974479382800	-5.9422495083361e-15
-7.944500137000	-2.1857748191482e-14
-7.914520891200	-7.9924993386976e-15
-7.884541645400	-1.6071873670207e-14
-7.854562399600	-1.5446373721961e-14
-7.824583153800	-2.4524810470808e-14
-7.794603908000	-1.1476186550456e-14
-7.764624662200	-2.1002572480989e-14
-7.734645416400	-1.9981248346744e-16
-7.704666170600	-9.8689991834353e-15
-7.674686924800	-1.3065998918914e-14
-7.644707679000	-2.6479497809077e-14
-7.614728433200	-2.0606748294990e-14
-7.584749187400	-3.0857997446798e-14
-7.554769941600	-2.0259248323742e-14
-7.524790695800	-2.3247748076473e-14
-7.494811450000	-8.0619993329472e-15
-7.464832204200	-1.4733998780903e-14
-7.434852958400	1.5220498740650e-14
-7.404873712600	1.6262998654393e-14
-7.374894466800	1.5011998757902e-14
-7.344915221000	1.1745499028173e-14
-7.314935975200	1.6193498660144e-14
-7.284956729400	2.1961998182856e-14
-7.254977483600	2.4811497947087e-14
-7.224998237800	2.6757497786075e-14
-7.195018992000	2.0988998263362e-14
-7.165039746200	2.2795998113851e-14
-7.135060500400	1.8069998504882e-14
-7.105081254600	1.9737998366871e-14
-7.075102008800	2.2239998159854e-14
-7.045122763000	2.7243997745822e-14
-7.015143517200	3.3359997239781e-14
-6.985164271400	3.8502996814248e-14
-6.955185025600	1.3899998849909e-14
-6.925205779800	2.4741997952838e-14
-6.895226534000	1.3760998861410e-14
-6.865247288200	2.2795998113851e-14
-6.835268042400	1.5150998746401e-14
-6.805288796600	1.8903998435876e-14
-6.775309550800	1.8069998504882e-14
-6.745330305000	3.0023997515803e-14
-6.715351059200	2.7382997734321e-14
-6.685371813400	4.1282996584230e-14
-6.655392567600	2.6826997780324e-14
-6.625413321800	4.2533996480721e-14
-6.595434076000	3.0857997446798e-14
-6.565454830200	4.7398996078189e-14
-6.535475584400	3.8363996825749e-14
-6.505496338600	4.9344995917177e-14
-6.475517092800	2.9467997561807e-14
-6.445537847000	5.0178995848171e-14
-6.415558601200	3.1135997423796e-14
-6.385579355400	4.7398996078189e-14
-6.355600109600	2.7382997734321e-14
