# Freq(GHz) Re(Z) Im(Z)
0.000000e+00 -2.589576e-08 -6.504431e+04
1.000000e-02 -2.732390e+03 -6.390863e+04
2.000000e-02 -5.464780e+03 -6.277294e+04
3.000000e-02 -8.197170e+03 -6.163726e+04
4.000000e-02 -1.092956e+04 -6.050158e+04
5.000000e-02 -1.366195e+04 -5.936590e+04
6.000000e-02 -1.639434e+04 -5.823021e+04
7.000000e-02 -1.912673e+04 -5.709453e+04
8.000000e-02 -2.185912e+04 -5.595885e+04
9.000000e-02 -2.459151e+04 -5.482317e+04
1.000000e-01 -2.732390e+04 -5.368748e+04
1.100000e-01 -3.005629e+04 -5.255180e+04
1.200000e-01 -3.278868e+04 -5.141612e+04
1.300000e-01 -3.552107e+04 -5.028044e+04
1.400000e-01 -3.825346e+04 -4.914476e+04
1.500000e-01 -4.098585e+04 -4.800907e+04
1.600000e-01 -4.371824e+04 -4.687339e+04
1.700000e-01 -4.645063e+04 -4.573771e+04
1.800000e-01 -4.918302e+04 -4.460203e+04
1.900000e-01 -5.191541e+04 -4.346634e+04
2.000000e-01 -5.464780e+04 -4.233066e+04
2.100000e-01 -5.738019e+04 -4.119498e+04
2.200000e-01 -6.011258e+04 -4.005930e+04
2.300000e-01 -6.284497e+04 -3.892361e+04
2.400000e-01 -6.557736e+04 -3.778793e+04
2.500000e-01 -6.830975e+04 -3.665225e+04
2.600000e-01 -7.037210e+04 -3.491730e+04
2.700000e-01 -7.143831e+04 -3.229141e+04
2.800000e-01 -7.250451e+04 -2.966553e+04
2.900000e-01 -7.357072e+04 -2.703964e+04
3.000000e-01 -7.463693e+04 -2.441375e+04
3.100000e-01 -7.570313e+04 -2.178787e+04
3.200000e-01 -7.676934e+04 -1.916198e+04
3.300000e-01 -7.783554e+04 -1.653609e+04
3.400000e-01 -7.890175e+04 -1.391021e+04
3.500000e-01 -7.996796e+04 -1.128432e+04
3.600000e-01 -8.103416e+04 -8.658434e+03
3.700000e-01 -8.210037e+04 -6.032547e+03
3.800000e-01 -8.316657e+04 -3.406661e+03
3.900000e-01 -8.423278e+04 -7.807742e+02
4.000000e-01 -8.529899e+04 1.845112e+03
4.100000e-01 -8.636519e+04 4.470999e+03
4.200000e-01 -8.743140e+04 7.096885e+03
4.300000e-01 -8.849760e+04 9.722772e+03
4.400000e-01 -8.956381e+04 1.234866e+04
4.500000e-01 -9.063001e+04 1.497454e+04
4.600000e-01 -9.169622e+04 1.760043e+04
4.700000e-01 -9.276243e+04 2.022632e+04
4.800000e-01 -9.382863e+04 2.285220e+04
4.900000e-01 -9.489484e+04 2.547809e+04
5.000000e-01 -9.596104e+04 2.810398e+04
5.100000e-01 -9.702725e+04 3.072986e+04
5.200000e-01 -9.639097e+04 3.315563e+04
5.300000e-01 -9.534038e+04 3.553269e+04
5.400000e-01 -9.428980e+04 3.790976e+04
5.500000e-01 -9.323921e+04 4.028683e+04
5.600000e-01 -9.218862e+04 4.266389e+04
5.700000e-01 -9.113804e+04 4.504096e+04
5.800000e-01 -9.008745e+04 4.741802e+04
5.900000e-01 -8.903686e+04 4.979509e+04
6.000000e-01 -8.798628e+04 5.217216e+04
6.100000e-01 -8.693569e+04 5.454922e+04
6.200000e-01 -8.588511e+04 5.692629e+04
6.300000e-01 -8.483452e+04 5.930335e+04
6.400000e-01 -8.378393e+04 6.168042e+04
6.500000e-01 -8.273335e+04 6.405748e+04
6.600000e-01 -8.168276e+04 6.643455e+04
6.700000e-01 -8.063217e+04 6.881162e+04
6.800000e-01 -7.958159e+04 7.118868e+04
6.900000e-01 -7.853100e+04 7.356575e+04
7.000000e-01 -7.748042e+04 7.594281e+04
7.100000e-01 -7.642983e+04 7.831988e+04
7.200000e-01 -7.537924e+04 8.069695e+04
