# Freq(GHz) Re(Z) Im(Z)
0.000000e+00 -1.312465e-08 3.436844e+04
1.000000e-02 -1.115933e+02 3.439770e+04
2.000000e-02 -2.231867e+02 3.442695e+04
3.000000e-02 -3.347800e+02 3.445621e+04
4.000000e-02 -4.463734e+02 3.448547e+04
5.000000e-02 -5.579667e+02 3.451473e+04
6.000000e-02 -6.695601e+02 3.454399e+04
7.000000e-02 -7.811534e+02 3.457324e+04
8.000000e-02 -8.927467e+02 3.460250e+04
9.000000e-02 -1.004340e+03 3.463176e+04
1.000000e-01 -1.115933e+03 3.466102e+04
1.100000e-01 -1.227527e+03 3.469028e+04
1.200000e-01 -1.339120e+03 3.471953e+04
1.300000e-01 -1.450713e+03 3.474879e+04
1.400000e-01 -1.562307e+03 3.477805e+04
1.500000e-01 -1.673900e+03 3.480731e+04
1.600000e-01 -1.785493e+03 3.483656e+04
1.700000e-01 -1.897087e+03 3.486582e+04
1.800000e-01 -2.008680e+03 3.489508e+04
1.900000e-01 -2.120273e+03 3.492434e+04
2.000000e-01 -2.231867e+03 3.495360e+04
2.100000e-01 -2.343460e+03 3.498285e+04
2.200000e-01 -2.455054e+03 3.501211e+04
2.300000e-01 -2.566647e+03 3.504137e+04
2.400000e-01 -2.678240e+03 3.507063e+04
2.500000e-01 -2.789834e+03 3.509989e+04
2.600000e-01 -2.890633e+03 3.515195e+04
2.700000e-01 -2.975384e+03 3.523793e+04
2.800000e-01 -3.060135e+03 3.532390e+04
2.900000e-01 -3.144886e+03 3.540988e+04
3.000000e-01 -3.229638e+03 3.549585e+04
3.100000e-01 -3.314389e+03 3.558182e+04
3.200000e-01 -3.399140e+03 3.566780e+04
3.300000e-01 -3.483891e+03 3.575377e+04
3.400000e-01 -3.568643e+03 3.583975e+04
3.500000e-01 -3.653394e+03 3.592572e+04
3.600000e-01 -3.738145e+03 3.601170e+04
3.700000e-01 -3.822896e+03 3.609767e+04
3.800000e-01 -3.907647e+03 3.618365e+04
3.900000e-01 -3.992399e+03 3.626962e+04
4.000000e-01 -4.077150e+03 3.635559e+04
4.100000e-01 -4.161901e+03 3.644157e+04
4.200000e-01 -4.246652e+03 3.652754e+04
4.300000e-01 -4.331404e+03 3.661352e+04
4.400000e-01 -4.416155e+03 3.669949e+04
4.500000e-01 -4.500906e+03 3.678547e+04
4.600000e-01 -4.585657e+03 3.687144e+04
4.700000e-01 -4.670409e+03 3.695742e+04
4.800000e-01 -4.755160e+03 3.704339e+04
4.900000e-01 -4.839911e+03 3.712936e+04
5.000000e-01 -4.924662e+03 3.721534e+04
5.100000e-01 -5.009414e+03 3.730131e+04
5.200000e-01 -5.045229e+03 3.741949e+04
