# Freq(GHz) Re(Z) Im(Z)
0.000000e+00 1.330903e+01 -9.414203e-10
1.000000e-02 1.321535e+01 5.591610e+00
2.000000e-02 1.312166e+01 1.118322e+01
3.000000e-02 1.302798e+01 1.677483e+01
4.000000e-02 1.293430e+01 2.236644e+01
5.000000e-02 1.284061e+01 2.795805e+01
6.000000e-02 1.274693e+01 3.354966e+01
7.000000e-02 1.265325e+01 3.914127e+01
8.000000e-02 1.255956e+01 4.473288e+01
9.000000e-02 1.246588e+01 5.032449e+01
1.000000e-01 1.237220e+01 5.591610e+01
1.100000e-01 1.227851e+01 6.150771e+01
1.200000e-01 1.218483e+01 6.709932e+01
1.300000e-01 1.209115e+01 7.269093e+01
1.400000e-01 1.199747e+01 7.828254e+01
1.500000e-01 1.190378e+01 8.387415e+01
1.600000e-01 1.181010e+01 8.946576e+01
1.700000e-01 1.171642e+01 9.505737e+01
1.800000e-01 1.162273e+01 1.006490e+02
1.900000e-01 1.152905e+01 1.062406e+02
2.000000e-01 1.143537e+01 1.118322e+02
2.100000e-01 1.134168e+01 1.174238e+02
2.200000e-01 1.124800e+01 1.230154e+02
2.300000e-01 1.115432e+01 1.286070e+02
2.400000e-01 1.106063e+01 1.341986e+02
2.500000e-01 1.096695e+01 1.397902e+02
2.600000e-01 1.082870e+01 1.454290e+02
2.700000e-01 1.061666e+01 1.511458e+02
2.800000e-01 1.040461e+01 1.568626e+02
2.900000e-01 1.019257e+01 1.625794e+02
3.000000e-01 9.980532e+00 1.682962e+02
3.100000e-01 9.768491e+00 1.740130e+02
3.200000e-01 9.556450e+00 1.797298e+02
3.300000e-01 9.344409e+00 1.854466e+02
3.400000e-01 9.132368e+00 1.911634e+02
3.500000e-01 8.920327e+00 1.968802e+02
3.600000e-01 8.708286e+00 2.025970e+02
3.700000e-01 8.496245e+00 2.083138e+02
3.800000e-01 8.284204e+00 2.140306e+02
3.900000e-01 8.072163e+00 2.197473e+02
4.000000e-01 7.860122e+00 2.254641e+02
4.100000e-01 7.648080e+00 2.311809e+02
4.200000e-01 7.436039e+00 2.368977e+02
4.300000e-01 7.223998e+00 2.426145e+02
4.400000e-01 7.011957e+00 2.483313e+02
4.500000e-01 6.799916e+00 2.540481e+02
4.600000e-01 6.587875e+00 2.597649e+02
4.700000e-01 6.375834e+00 2.654817e+02
4.800000e-01 6.163793e+00 2.711985e+02
4.900000e-01 5.951752e+00 2.769153e+02
5.000000e-01 5.739711e+00 2.826321e+02
5.100000e-01 5.527670e+00 2.883489e+02
5.200000e-01 5.310181e+00 2.941541e+02
5.300000e-01 5.090908e+00 2.999883e+02
5.400000e-01 4.871634e+00 3.058224e+02
5.500000e-01 4.652360e+00 3.116566e+02
5.600000e-01 4.433087e+00 3.174908e+02
5.700000e-01 4.213813e+00 3.233250e+02
5.800000e-01 3.994540e+00 3.291591e+02
5.900000e-01 3.775266e+00 3.349933e+02
6.000000e-01 3.555992e+00 3.408275e+02
6.100000e-01 3.336719e+00 3.466616e+02
6.200000e-01 3.117445e+00 3.524958e+02
6.300000e-01 2.898171e+00 3.583300e+02
6.400000e-01 2.678898e+00 3.641642e+02
6.500000e-01 2.459624e+00 3.699983e+02
6.600000e-01 2.240351e+00 3.758325e+02
6.700000e-01 2.021077e+00 3.816667e+02
6.800000e-01 1.801803e+00 3.875008e+02
6.900000e-01 1.582530e+00 3.933350e+02
7.000000e-01 1.363256e+00 3.991692e+02
7.100000e-01 1.143983e+00 4.050034e+02
7.200000e-01 9.247089e-01 4.108375e+02
