#Parameters = {cpw=15; sigma_z=0.4; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
# Beta-weighted transverse dipolar bunch wake, x-plane
# beta_factor is dimensionless: sum(beta_i/<beta>)
# Z_perp unit: Ohm/m
#"s / mm"	"W_perp_beta [V/pC/m]"
#------------------------
-9.983088851400	1.2162498993670e-14
-9.953109605600	2.0849998274863e-14
-9.923130359800	2.1197498246111e-14
-9.893151114000	1.4247498821157e-14
-9.863171868200	1.6610498625641e-14
-9.833192622400	1.6888498602639e-14
-9.803213376600	1.3343998895913e-14
-9.773234130800	1.6123998665894e-14
-9.743254885000	4.3784996377213e-15
-9.713275639200	2.2795998113851e-14
-9.683296393400	1.7305498568137e-14
-9.653317147600	1.5672248703272e-14
-9.623337901800	7.7492493588242e-15
-9.593358656000	2.4811497947087e-14
-9.563379410200	2.0676248289240e-14
-9.533400164400	2.2552748133977e-14
-9.503420918600	1.9737998366871e-14
-9.473441672800	3.2282747328914e-14
-9.443462427000	2.2952373100912e-14
-9.413483181200	1.9512123385560e-14
-9.383503935400	2.7261372744384e-14
-9.353524689600	3.3333934741938e-14
-9.323545443800	2.2895904355584e-14
-9.293566198000	2.5751919744277e-14
-9.263586952200	2.7856466445146e-14
-9.233607706400	4.2494902733956e-14
-9.203628460600	3.3064622264221e-14
-9.173649214800	3.1118622425234e-14
-9.143669969000	2.8512372640876e-14
-9.113690723200	1.9755373365433e-14
-9.083711477400	2.0432998309366e-14
-9.053732231600	2.5923497855080e-14
-9.023752985800	2.3282498073597e-14
-8.993773740000	3.6139997009763e-14
-8.963794494200	3.2039497349040e-14
-8.933815248400	3.4193997170776e-14
-8.903836002600	2.5019997929836e-14
-8.873856756800	3.6834996952259e-14
-8.843877511000	3.1066497429546e-14
-8.813898265200	3.5027997101771e-14
-8.783919019400	2.9050997596310e-14
-8.753939773600	4.3784996377213e-14
-8.723960527800	4.0587996641734e-14
-8.693981282000	3.2178497337539e-14
-8.664002036200	4.1004996607231e-14
-8.634022790400	3.6348496992512e-14
-8.604043544600	3.2108997343290e-14
-8.574064298800	3.5027997101771e-14
-8.544085053000	3.2942997274284e-14
-8.514105807200	5.4974495451390e-14
-8.484126561400	4.0240496670486e-14
-8.454147315600	4.0309996664736e-14
-8.424168069800	3.4054997182277e-14
-8.394188824000	3.5166997090270e-14
-8.364209578200	3.7668996883253e-14
-8.334230332400	2.8355997653814e-14
-8.304251086600	2.7799997699818e-14
-8.274271840800	3.2386997320288e-14
-8.244292595000	3.7251996917756e-14
-8.214313349200	3.2664997297286e-14
-8.184334103400	3.0440997481301e-14
-8.154354857600	1.5706998700397e-14
-8.124375611800	2.1405998228860e-14
-8.094396366000	1.6123998665894e-14
