#Parameters = {cpw=15; sigma_z=0.4; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
# Beta-weighted transverse dipolar bunch wake, y-plane
# beta_factor is dimensionless: sum(beta_i/<beta>)
# Z_perp unit: Ohm/m
#"s / mm"	"W_perp_beta [V/pC/m]"
#------------------------
-9.983088851400	1.5706998700397e-14
-9.953109605600	1.8764998447377e-14
-9.923130359800	9.3824992236885e-15
-9.893151114000	1.2440498970668e-14
-9.863171868200	1.9251498407124e-14
-9.833192622400	1.0911499097179e-14
-9.803213376600	5.2124995687159e-15
-9.773234130800	9.3129992294390e-15
-9.743254885000	6.3939994709581e-15
-9.713275639200	1.6749498614140e-14
-9.683296393400	1.8486998470379e-14
-9.653317147600	1.0251249151808e-14
-9.623337901800	1.6610498625641e-14
-9.593358656000	2.1544998217359e-14
-9.563379410200	2.1023748260487e-14
-9.533400164400	1.2753248944791e-14
-9.503420918600	8.7222492783179e-15
-9.473441672800	2.0832623276301e-14
-9.443462427000	2.2987123098037e-14
-9.413483181200	2.6045122845017e-14
-9.383503935400	1.9199373411437e-14
-9.353524689600	2.2257373158417e-14
-9.323545443800	2.5589029132754e-14
-9.293566198000	2.0285310821586e-14
-9.263586952200	1.1024436587834e-14
-9.233607706400	1.9890029604292e-14
-9.203628460600	2.3560498050596e-14
-9.173649214800	2.1597123213046e-14
-9.143669969000	3.4541497142024e-14
-9.113690723200	2.7991122684004e-14
-9.083711477400	1.8382748479005e-14
-9.053732231600	1.5845998688896e-14
-9.023752985800	1.6645248622766e-14
-8.993773740000	2.0015998343869e-14
-8.963794494200	2.7278747742946e-14
-8.933815248400	2.8529747639438e-14
-8.903836002600	3.1691997377792e-14
-8.873856756800	2.5297997906834e-14
-8.843877511000	2.5506497889583e-14
-8.813898265200	2.1475498223109e-14
-8.783919019400	1.9459998389873e-14
-8.753939773600	3.0510497475550e-14
-8.723960527800	3.5583997055767e-14
-8.693981282000	2.9815497533055e-14
-8.664002036200	3.5931497027015e-14
-8.634022790400	2.1683998205858e-14
-8.604043544600	4.0240496670486e-14
-8.574064298800	2.4672497958588e-14
-8.544085053000	2.5158997918335e-14
-8.514105807200	3.4819497119022e-14
-8.484126561400	2.4463997975840e-14
-8.454147315600	3.4332997159275e-14
-8.424168069800	4.4271496336960e-14
-8.394188824000	2.3282498073597e-14
-8.364209578200	3.0510497475550e-14
-8.334230332400	2.2517998136852e-14
-8.304251086600	1.9598998378372e-14
-8.274271840800	2.7799997699818e-14
-8.244292595000	3.8780996791246e-14
-8.214313349200	3.2942997274284e-14
-8.184334103400	3.1274997412295e-14
-8.154354857600	1.5428998723399e-14
-8.124375611800	1.7652998539384e-14
-8.094396366000	7.0889994134536e-15
-8.064417120200	1.8903998435876e-14
-8.034437874400	1.7791998527883e-14
-8.004458628600	2.2239998159854e-14
-7.974479382800	1.1814999022423e-14
-7.944500137000	2.6965997768823e-14
-7.914520891200	1.0980999091428e-14
-7.884541645400	1.9598998378372e-14
-7.854562399600	8.6179992869435e-15
-7.824583153800	1.8347998481880e-14
-7.794603908000	1.7374998562386e-14
-7.764624662200	1.8069998504882e-14
-7.734645416400	1.6123998665894e-14
-7.704666170600	2.2517998136852e-14
