#Parameters = {cpw=15; sigma_z=0.4; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
#"s / mm"	"Z [Real Part]"
#------------------------
-9.983088851400	1.0307921510400e-18
-9.953109605600	8.1021111460346e-19
-9.923130359800	5.0903316100741e-19
-9.893151114000	1.2810667885353e-18
-9.863171868200	7.8900139956148e-19
-9.833192622400	6.8295282435160e-19
-9.803213376600	5.7266230613333e-19
-9.773234130800	8.2717888663704e-19
-9.743254885000	5.5569453409975e-19
-9.713275639200	4.1571041482272e-19
-9.683296393400	-1.5695189131062e-19
-9.653317147600	6.6174310930963e-19
-9.623337901800	4.7509761694025e-19
-9.593358656000	3.7753292774716e-19
-9.563379410200	2.5451658050370e-20
-9.533400164400	7.2537225443556e-19
-9.503420918600	3.4359738368000e-19
-9.473441672800	-2.5451658050370e-20
-9.443462427000	-5.3024287604938e-19
-9.413483181200	-5.0903316100741e-20
-9.383503935400	-3.4359738368000e-19
-9.353524689600	7.7203362752790e-19
-9.323545443800	1.0180663220148e-19
-9.293566198000	4.7085567393185e-19
-9.263586952200	2.8421018156247e-19
-9.233607706400	1.7391966334420e-19
-9.203628460600	-4.6237178791506e-19
-9.173649214800	2.7572629554568e-19
-9.143669969000	-3.0966183961284e-19
-9.113690723200	1.5270994830222e-19
-9.083711477400	-2.6300046652049e-19
-9.053732231600	8.0596917159506e-20
-9.023752985800	-5.4296870507457e-19
-8.993773740000	-1.4846800529383e-19
-8.963794494200	-9.5867911989728e-19
-8.933815248400	2.0361326440296e-19
-8.903836002600	-6.8295282435160e-19
-8.873856756800	-7.6354974151111e-20
-8.843877511000	-6.7022699532642e-19
-8.813898265200	-1.9088743537778e-19
-8.783919019400	-4.6237178791506e-19
-8.753939773600	-2.2482297944494e-19
-8.723960527800	-5.5993647710815e-19
-8.693981282000	-4.2843624384790e-19
-8.664002036200	-8.6111443070420e-19
-8.634022790400	1.3998411927704e-19
-8.604043544600	-1.9937132139457e-19
-8.574064298800	1.3574217626864e-19
-8.544085053000	-3.5632321270519e-19
-8.514105807200	4.7509761694025e-19
-8.484126561400	-5.0054927499062e-19
-8.454147315600	7.5082391248593e-19
-8.424168069800	-3.9450069978074e-19
-8.394188824000	7.6354974151111e-20
-8.364209578200	-7.3385614045235e-19
-8.334230332400	-2.9269406757926e-19
-8.304251086600	-7.6991265602370e-19
-8.274271840800	-3.1602475412543e-19
-8.244292595000	-1.0180663220148e-18
-8.214313349200	-3.9237972827654e-19
-8.184334103400	-9.2050163282173e-19
-8.154354857600	-0.0000000000000e+00
-8.124375611800	-7.1900933992296e-19
-8.094396366000	-4.2207332933531e-19
-8.064417120200	-1.0477599230736e-18
-8.034437874400	-2.7572629554568e-20
-8.004458628600	-9.3959037635951e-19
-7.974479382800	-4.5070644464198e-19
-7.944500137000	-7.0946496815407e-19
-7.914520891200	7.3173516894815e-20
-7.884541645400	-5.2812190454519e-19
-7.854562399600	-2.1368787904790e-19
-7.824583153800	-7.4340051222123e-19
-7.794603908000	-1.1956976854914e-19
-7.764624662200	-4.2233845077333e-19
-7.734645416400	1.8498848338173e-19
-7.704666170600	-2.9216382470321e-19
-7.674686924800	-5.6205744861235e-19
-7.644707679000	-1.1193427113402e-18
-7.614728433200	-4.0510555730173e-19
-7.584749187400	-9.0459434654025e-19
-7.554769941600	-7.8051751354469e-19
-7.524790695800	-1.0466994373215e-18
-7.494811450000	-6.0235590719210e-19
-7.464832204200	-8.4626763017481e-19
-7.434852958400	1.2216795864178e-18
-7.404873712600	1.0562438090904e-18
-7.374894466800	1.2640990165017e-18
-7.344915221000	9.1413871830914e-19
-7.314935975200	1.1347197547457e-18
-7.284956729400	1.0477599230736e-18
-7.254977483600	1.4083250787872e-18
-7.224998237800	1.0265502080316e-18
-7.195018992000	1.4274138223249e-18
-7.165039746200	1.3743895347200e-18
-7.135060500400	1.5907286281481e-18
-7.105081254600	1.5058897679802e-18
-7.075102008800	1.4931639389551e-18
-7.045122763000	1.8961485247526e-18
-7.015143517200	1.9428098978449e-18
-6.985164271400	1.9003904677610e-18
-6.955185025600	1.1792601563338e-18
-6.925205779800	1.4719542239131e-18
-6.895226534000	1.2344054154430e-18
-6.865247288200	1.2513731874765e-18
-6.835268042400	1.1113890681995e-18
-6.805288796600	8.9080803176296e-19
-6.775309550800	1.1707762703170e-18
-6.745330305000	1.4677122809047e-18
-6.715351059200	1.3531798196780e-18
-6.685371813400	1.8028257785679e-18
-6.655392567600	1.3192442756109e-18
-6.625413321800	1.7349546904336e-18
-6.595434076000	1.2004698713758e-18
-6.565454830200	1.6034544571733e-18
-6.535475584400	1.5907286281481e-18
-6.505496338600	2.2567136804662e-18
-6.475517092800	1.7985838355595e-18
-6.445537847000	2.1124876181807e-18
-6.415558601200	1.5864866851398e-18
-6.385579355400	1.8579710376770e-18
-6.355600109600	1.5695189131062e-18
-6.325620863800	2.4094236287684e-18
-6.295641618000	2.1421812192395e-18
-6.265662372200	2.8463437586331e-18
-6.235683126400	1.2089537573926e-18
-6.205703880600	2.3839719707180e-18
-6.175724634800	1.7731321775091e-18
-6.145745389000	2.2567136804662e-18
-6.115766143200	1.5483091980642e-18
-6.085786897400	2.4009397427516e-18
-6.055807651600	2.1379392762311e-18
-6.025828405800	2.8717954166835e-18
-5.995849160000	-1.0053404929896e-18
-5.965869914200	3.1814572562963e-19
-5.935890668400	-1.0816954671407e-18
-5.905911422600	-1.6543577732741e-19
-5.875932176800	-7.5506585549432e-19
-5.845952931000	3.3087155465481e-19
-5.815973685200	-5.7266230613333e-19
-5.785994439400	4.4540401588148e-19
-5.756015193600	-3.6056515571358e-19
-5.726035947800	5.1751704702420e-19
-5.696056702000	-2.3330686546173e-19
-5.666077456200	2.9693601058765e-20
-5.636098210400	-2.8421018156247e-19
-5.606118964600	5.7266230613333e-19
-5.576139718800	6.7871088134321e-20
-5.546160473000	9.3746940485531e-19
-5.516181227200	-3.2238766863802e-19
-5.486201981400	4.1146847181432e-19
-5.456222735600	-1.6119383431901e-19
-5.426243489800	5.3872676206617e-19
-5.396264244000	8.4838860167901e-21
-5.366284998200	7.4234002646914e-19
-5.336305752400	1.9937132139457e-19
-5.306326506600	9.5867911989728e-19
-5.276347260800	-1.1856230708464e-18
-5.246368015000	-5.9811396418370e-19
-5.216388769200	-1.2768248455269e-18
-5.186409523400	-1.1071471251911e-18
-5.156430277600	-1.0689696381156e-18
-5.126451031800	-2.7572629554568e-19
-5.096471786000	-1.4231718793165e-18
-5.066492540200	-8.7808220273778e-19
-5.036513294400	-1.6925352603496e-18
-5.006534048600	-8.5369103043951e-19
-4.976554802800	-1.6002729999170e-18
-4.946575557000	-1.6904142888454e-18
-4.916596311200	-1.2651595022538e-18
-4.886617065400	-9.9897757847704e-19
-4.856637819600	-1.7095030323832e-18
-4.826658573800	-1.4791125027398e-18
-4.796679328000	-1.9160326326044e-18
-4.766700082200	-1.3327654689501e-18
-4.736720836400	-2.2368295726143e-18
-4.706741590600	-1.8049467500721e-18
-4.676762344800	-1.7110937610114e-18
-4.646783099000	-1.2662199880059e-18
-4.616803853200	-2.0997617891556e-18
-4.586824607400	-1.5514906553205e-18
-4.556845361600	-6.7765039559111e-19
-4.526866115800	-6.1614222196938e-19
-4.496886870000	-1.4019621642746e-18
-4.466907624200	-1.2428893014598e-18
-4.436928378400	-7.7627557053630e-19
-4.406949132600	-4.7297664543605e-19
-4.376969886800	-1.1368407262499e-18
-4.346990641000	-1.0307921510400e-18
-4.317011395200	-1.6776884598202e-18
-4.287032149400	-8.9292900326716e-19
-4.257052903600	-1.3446959336612e-18
-4.227073657800	-1.5058897679802e-18
-4.197094412000	-5.5569453409975e-19
-4.167115166200	-6.3629145125926e-19
-4.137135920400	-9.8837272095605e-19
-4.107156674600	-1.1368407262499e-18
-4.077177428800	-1.2471312444681e-18
-4.047198183000	-8.9929191777975e-19
-4.017218937200	-1.4846800529383e-18
-3.987239691400	-1.3871153637452e-18
-3.957260445600	-4.4116207287309e-19
-3.927281199800	-4.2419430083951e-20
-3.897301954000	-1.2259215294262e-18
-3.867322708200	-5.0054927499062e-19
-3.837343462400	-1.3065184465857e-18
-3.807364216600	-1.3277281616277e-18
-3.777384970800	-1.5610350270894e-18
-3.747405725000	-1.5780027991230e-18
-3.717426479200	-5.8538813515852e-19
-3.687447233400	-2.6300046652049e-19
-3.657467987600	-1.0604857520988e-18
-3.627488741800	-7.6354974151111e-19
-3.597509496000	-9.6292106290568e-19
-3.567530250200	-8.7384025972938e-19
-3.537551004400	-1.6289061152237e-18
-3.507571758600	-1.5355833690390e-18
-3.477592512800	-4.9630733198222e-19
-3.447613267000	-8.1445305761185e-19
-3.417634021200	-1.4252928508207e-18
-3.387654775400	-2.1803587063151e-18
-3.357675529600	-2.8293759865995e-18
-3.327696283800	-4.3861690706805e-18
-3.297717038000	-7.6354974151111e-18
-3.267737792200	-1.3379088248478e-17
-3.237758546400	-2.1256376415068e-17
-3.207779300600	-3.8754391324697e-17
-3.177800054800	-7.1001642074517e-17
-3.147820809000	-1.2829332434590e-16
-3.117841563200	-2.2962061698743e-16
-3.087862317400	-4.1491717148015e-16
-3.057883071600	-7.4407498115957e-16
-3.027903825800	-1.3279614684931e-15
-2.997924580000	-2.3556697269660e-15
-2.967945334200	-4.1578422463106e-15
-2.937966088400	-7.2994337222140e-15
-2.907986842600	-1.2741889021415e-14
-2.878007596800	-2.2118118653337e-14
-2.848028351000	-3.8184426894317e-14
-2.818049105200	-6.5558478370833e-14
-2.788069859400	-1.1193915785237e-13
-2.758090613600	-1.9008087657610e-13
-2.728111367800	-3.2099957762739e-13
-2.698132122000	-5.3911275342828e-13
-2.668152876200	-9.0045893144662e-13
-2.638173630400	-1.4957490426535e-12
-2.608194384600	-2.4709577461136e-12
-2.578215138800	-4.0596119962595e-12
-2.548235893000	-6.6331155882890e-12
-2.518256647200	-1.0778675734023e-11
-2.488277401400	-1.7419241311075e-11
-2.458298155600	-2.7996910085625e-11
-2.428318909800	-4.4751662982472e-11
-2.398339664000	-7.1142261110855e-11
-2.368360418200	-1.1247779782428e-10
-2.338381172400	-1.7685928342943e-10
-2.308401926600	-2.7657451438056e-10
-2.278422680800	-4.3015110970159e-10
-2.248443435000	-6.6535883911251e-10
-2.218464189200	-1.0235716589355e-09
-2.188484943400	-1.5660639977064e-09
-2.158505697600	-2.3830394513065e-09
-2.128526451800	-3.6064924357273e-09
-2.098547206000	-5.4284086354048e-09
-2.068567960200	-8.1263487461099e-09
-2.038588714400	-1.2099169403297e-08
-2.008609468600	-1.7916561217869e-08
-1.978630222800	-2.6387281053878e-08
-1.948650977000	-3.8652488896864e-08
-1.918671731200	-5.6312543333042e-08
-1.888692485400	-8.1598048346786e-08
-1.858713239600	-1.1759897053565e-07
-1.828733993800	-1.6856935928295e-07
-1.798754748000	-2.4032970367304e-07
-1.768775502200	-3.4079434700166e-07
-1.738796256400	-4.8065773787605e-07
-1.708817010600	-6.7428068972121e-07
-1.678837764800	-9.4082627501685e-07
-1.648858519000	-1.3057044716119e-06
-1.618879273200	-1.8023951089009e-06
-1.588900027400	-2.4747298413009e-06
-1.558920781600	-3.3797254979218e-06
-1.528941535800	-4.5910727735440e-06
-1.498962290000	-6.2033952264503e-06
-1.468983044200	-8.3374031416556e-06
-1.439003798400	-1.1146074017437e-05
-1.409024552600	-1.4821995055146e-05
-1.379045306800	-1.9606001705695e-05
-1.349066061000	-2.5797238518040e-05
-1.319086815200	-3.3764752597102e-05
-1.289107569400	-4.3960704216845e-05
-1.259128323600	-5.6935241901595e-05
-1.229149077800	-7.3353039105356e-05
-1.199169832000	-9.4011425314145e-05
-1.169190586200	-1.1985996527140e-04
-1.139211340400	-1.5202124603032e-04
-1.109232094600	-1.9181252344584e-04
-1.079252848800	-2.4076775930544e-04
-1.049273603000	-3.0065945048090e-04
-1.019294357200	-3.7351951642724e-04
-0.989315111400	-4.6165837652344e-04
-0.959335865600	-5.6768122086696e-04
-0.929356619800	-6.9450036506523e-04
-0.899377374000	-8.4534249008833e-04
-0.869398128200	-1.0237495117001e-03
-0.839418882400	-1.2335718098312e-03
-0.809439636600	-1.4789525855204e-03
-0.779460390800	-1.7643022096769e-03
-0.749481145000	-2.0942615901151e-03
-0.719501899200	-2.4736538148081e-03
-0.689522653400	-2.9074236307582e-03
-0.659543407600	-3.4005646862304e-03
-0.629564161800	-3.9580348922276e-03
-0.599584916000	-4.5846607355529e-03
-0.569605670200	-5.2850318849152e-03
-0.539626424400	-6.0633879536104e-03
-0.509647178600	-6.9234997943807e-03
-0.479667932800	-7.8685481787060e-03
-0.449688687000	-8.9010031273974e-03
-0.419709441200	-1.0022507485543e-02
-0.389730195400	-1.1233768547938e-02
-0.359750949600	-1.2534461619887e-02
-0.329771703800	-1.3923149326422e-02
-0.299792458000	-1.5397220250619e-02
-0.269813212200	-1.6952850086490e-02
-0.239833966400	-1.8584987939711e-02
-0.209854720600	-2.0287369714667e-02
-0.179875474800	-2.2052559711750e-02
-0.149896229000	-2.3872020654677e-02
-0.119916983200	-2.5736211410552e-02
-0.089937737400	-2.7634710696263e-02
-0.059958491600	-2.9556364127155e-02
-0.029979245800	-3.1489451101071e-02
0.000000000000	-3.3421867263790e-02
0.029979245800	-3.5341317706789e-02
0.059958491600	-3.7235515634286e-02
0.089937737400	-3.9092381024297e-02
0.119916983200	-4.0900233808412e-02
0.149896229000	-4.2647976307277e-02
0.179875474800	-4.4325260072737e-02
0.209854720600	-4.5922632882688e-02
0.239833966400	-4.7431662381789e-02
0.269813212200	-4.8845033724007e-02
0.299792458000	-5.0156619510676e-02
0.329771703800	-5.1361521286831e-02
0.359750949600	-5.2456082815693e-02
0.389730195400	-5.3437876255320e-02
0.419709441200	-5.4305663175990e-02
0.449688687000	-5.5059333051710e-02
0.479667932800	-5.5699822411423e-02
0.509647178600	-5.6229018230734e-02
0.539626424400	-5.6649649377323e-02
0.569605670200	-5.6965169995083e-02
0.599584916000	-5.7179638633267e-02
0.629564161800	-5.7297596713844e-02
0.659543407600	-5.7323949604115e-02
0.689522653400	-5.7263853147010e-02
0.719501899200	-5.7122608024854e-02
0.749481145000	-5.6905563820335e-02
