# Freq(GHz) Re(Zx/y) Im(Zx/y)
# Unit: Ohm/m
# Transverse offset used for normalization: 6.000000e+00 mm
0.000000e+00 0.000000e+00 0.000000e+00
1.000000e-02 1.548905e-03 6.662495e+00
2.000000e-02 3.111317e-03 6.662965e+00
3.000000e-02 4.700722e-03 6.663732e+00
4.000000e-02 6.330568e-03 6.664805e+00
5.000000e-02 8.014241e-03 6.666181e+00
6.000000e-02 9.765048e-03 6.667857e+00
7.000000e-02 1.159620e-02 6.669832e+00
8.000000e-02 1.352077e-02 6.672102e+00
9.000000e-02 1.555173e-02 6.674662e+00
1.000000e-01 1.770186e-02 6.677509e+00
1.100000e-01 1.998377e-02 6.680637e+00
1.200000e-01 2.240989e-02 6.684041e+00
1.300000e-01 2.499242e-02 6.687716e+00
1.400000e-01 2.774333e-02 6.691655e+00
1.500000e-01 3.067435e-02 6.695851e+00
1.600000e-01 3.379693e-02 6.700297e+00
1.700000e-01 3.712224e-02 6.704985e+00
1.800000e-01 4.066117e-02 6.709908e+00
1.900000e-01 4.442425e-02 6.715056e+00
2.000000e-01 4.842171e-02 6.720421e+00
2.100000e-01 5.266342e-02 6.725993e+00
2.200000e-01 5.715889e-02 6.731763e+00
2.300000e-01 6.191726e-02 6.737721e+00
2.400000e-01 6.694727e-02 6.743856e+00
2.500000e-01 7.225725e-02 6.750157e+00
2.600000e-01 7.785514e-02 6.756614e+00
2.700000e-01 8.374841e-02 6.763215e+00
2.800000e-01 8.994414e-02 6.769949e+00
2.900000e-01 9.644892e-02 6.776802e+00
3.000000e-01 1.032689e-01 6.783764e+00
3.100000e-01 1.104098e-01 6.790822e+00
3.200000e-01 1.178767e-01 6.797963e+00
3.300000e-01 1.256744e-01 6.805175e+00
3.400000e-01 1.338071e-01 6.812443e+00
3.500000e-01 1.422786e-01 6.819756e+00
3.600000e-01 1.510920e-01 6.827100e+00
3.700000e-01 1.602501e-01 6.834461e+00
3.800000e-01 1.697550e-01 6.841826e+00
3.900000e-01 1.796085e-01 6.849181e+00
4.000000e-01 1.898116e-01 6.856512e+00
4.100000e-01 2.003651e-01 6.863806e+00
4.200000e-01 2.112689e-01 6.871050e+00
4.300000e-01 2.225228e-01 6.878228e+00
4.400000e-01 2.341257e-01 6.885328e+00
4.500000e-01 2.460763e-01 6.892335e+00
4.600000e-01 2.583724e-01 6.899236e+00
4.700000e-01 2.710117e-01 6.906018e+00
4.800000e-01 2.839911e-01 6.912667e+00
4.900000e-01 2.973070e-01 6.919169e+00
5.000000e-01 3.109555e-01 6.925512e+00
5.100000e-01 3.249320e-01 6.931682e+00
5.200000e-01 3.392314e-01 6.937666e+00
5.300000e-01 3.538483e-01 6.943451e+00
5.400000e-01 3.687766e-01 6.949026e+00
5.500000e-01 3.840099e-01 6.954377e+00
5.600000e-01 3.995412e-01 6.959492e+00
5.700000e-01 4.153632e-01 6.964361e+00
5.800000e-01 4.314679e-01 6.968970e+00
5.900000e-01 4.478473e-01 6.973310e+00
6.000000e-01 4.644924e-01 6.977368e+00
6.100000e-01 4.813944e-01 6.981135e+00
6.200000e-01 4.985436e-01 6.984600e+00
6.300000e-01 5.159302e-01 6.987754e+00
6.400000e-01 5.335439e-01 6.990586e+00
6.500000e-01 5.513742e-01 6.993087e+00
6.600000e-01 5.694101e-01 6.995250e+00
6.700000e-01 5.876404e-01 6.997065e+00
6.800000e-01 6.060534e-01 6.998524e+00
6.900000e-01 6.246373e-01 6.999620e+00
7.000000e-01 6.433800e-01 7.000347e+00
7.100000e-01 6.622691e-01 7.000696e+00
7.200000e-01 6.812918e-01 7.000663e+00
7.300000e-01 7.004354e-01 7.000241e+00
7.400000e-01 7.196868e-01 6.999425e+00
7.500000e-01 7.390327e-01 6.998211e+00
7.600000e-01 7.584596e-01 6.996595e+00
7.700000e-01 7.779540e-01 6.994572e+00
7.800000e-01 7.975021e-01 6.992139e+00
7.900000e-01 8.170902e-01 6.989294e+00
