# Freq(GHz) Re(Z) Im(Z)
0.000000e+00 0.000000e+00 0.000000e+00
1.000000e-02 -6.695915e-03 1.205600e-03
2.000000e-02 -1.339183e-02 2.411200e-03
3.000000e-02 -1.332543e-02 3.614209e-03
4.000000e-02 -1.323260e-02 4.814112e-03
5.000000e-02 -1.311350e-02 6.009883e-03
6.000000e-02 -1.296831e-02 7.200501e-03
7.000000e-02 -1.279728e-02 8.384955e-03
8.000000e-02 -1.260067e-02 9.562245e-03
9.000000e-02 -1.237880e-02 1.073138e-02
1.000000e-01 -1.213202e-02 1.189139e-02
1.100000e-01 -1.186072e-02 1.304130e-02
1.200000e-01 -1.156533e-02 1.418019e-02
1.300000e-01 -1.124633e-02 1.530712e-02
1.400000e-01 -1.090421e-02 1.642118e-02
1.500000e-01 -1.053953e-02 1.752151e-02
1.600000e-01 -1.015286e-02 1.860723e-02
1.700000e-01 -9.744822e-03 1.967751e-02
1.800000e-01 -9.316052e-03 2.073154e-02
1.900000e-01 -8.867236e-03 2.176855e-02
2.000000e-01 -8.399082e-03 2.278776e-02
2.100000e-01 -7.912333e-03 2.378848e-02
2.200000e-01 -7.407757e-03 2.476999e-02
2.300000e-01 -6.886153e-03 2.573164e-02
2.400000e-01 -6.348344e-03 2.667281e-02
2.500000e-01 -5.795177e-03 2.759290e-02
2.600000e-01 -5.227524e-03 2.849135e-02
2.700000e-01 -4.646280e-03 2.936765e-02
2.800000e-01 -4.052357e-03 3.022130e-02
2.900000e-01 -3.446688e-03 3.105187e-02
3.000000e-01 -2.830224e-03 3.185894e-02
3.100000e-01 -2.203929e-03 3.264216e-02
3.200000e-01 -1.568783e-03 3.340118e-02
3.300000e-01 -9.257784e-04 3.413573e-02
3.400000e-01 -2.759169e-04 3.484556e-02
3.500000e-01 3.797898e-04 3.553046e-02
3.600000e-01 1.040323e-03 3.619027e-02
3.700000e-01 1.704658e-03 3.682488e-02
3.800000e-01 2.371768e-03 3.743419e-02
3.900000e-01 3.040622e-03 3.801818e-02
4.000000e-01 3.710191e-03 3.857685e-02
4.100000e-01 4.379444e-03 3.911025e-02
4.200000e-01 5.047357e-03 3.961847e-02
4.300000e-01 5.712908e-03 4.010164e-02
4.400000e-01 6.375084e-03 4.055994e-02
4.500000e-01 7.032879e-03 4.099358e-02
4.600000e-01 7.685296e-03 4.140283e-02
4.700000e-01 8.331353e-03 4.178797e-02
4.800000e-01 8.970079e-03 4.214935e-02
4.900000e-01 9.600518e-03 4.248734e-02
5.000000e-01 1.022173e-02 4.280237e-02
5.100000e-01 1.083280e-02 4.309488e-02
5.200000e-01 1.143282e-02 4.336537e-02
5.300000e-01 1.202092e-02 4.361437e-02
5.400000e-01 1.259623e-02 4.384243e-02
5.500000e-01 1.315793e-02 4.405017e-02
5.600000e-01 1.370521e-02 4.423821e-02
5.700000e-01 1.423729e-02 4.440723e-02
5.800000e-01 1.475342e-02 4.455790e-02
5.900000e-01 1.525287e-02 4.469098e-02
6.000000e-01 1.573497e-02 4.480720e-02
6.100000e-01 1.619904e-02 4.490735e-02
6.200000e-01 1.664447e-02 4.499225e-02
6.300000e-01 1.707066e-02 4.506272e-02
6.400000e-01 1.747706e-02 4.511964e-02
6.500000e-01 1.786315e-02 4.516387e-02
6.600000e-01 1.822845e-02 4.519632e-02
6.700000e-01 1.857250e-02 4.521791e-02
6.800000e-01 1.889491e-02 4.522958e-02
6.900000e-01 1.919532e-02 4.523228e-02
7.000000e-01 1.947338e-02 4.522697e-02
7.100000e-01 1.972882e-02 4.521464e-02
7.200000e-01 1.996140e-02 4.519629e-02
7.300000e-01 2.017090e-02 4.517290e-02
7.400000e-01 2.035717e-02 4.514549e-02
7.500000e-01 2.052008e-02 4.511507e-02
7.600000e-01 2.065956e-02 4.508265e-02
7.700000e-01 2.077557e-02 4.504926e-02
7.800000e-01 2.086813e-02 4.501592e-02
7.900000e-01 2.093727e-02 4.498364e-02
8.000000e-01 2.098309e-02 4.495344e-02
8.100000e-01 2.100573e-02 4.492634e-02
8.200000e-01 2.100535e-02 4.490332e-02
8.300000e-01 2.098219e-02 4.488540e-02
8.400000e-01 2.093649e-02 4.487355e-02
8.500000e-01 2.086855e-02 4.486876e-02
8.600000e-01 2.077872e-02 4.487197e-02
8.700000e-01 2.066737e-02 4.488415e-02
8.800000e-01 2.053492e-02 4.490621e-02
8.900000e-01 2.038183e-02 4.493906e-02
9.000000e-01 2.020860e-02 4.498361e-02
9.100000e-01 2.001575e-02 4.504072e-02
9.200000e-01 1.980384e-02 4.511123e-02
9.300000e-01 1.957349e-02 4.519597e-02
9.400000e-01 1.932533e-02 4.529574e-02
9.500000e-01 1.906002e-02 4.541130e-02
9.600000e-01 1.877827e-02 4.554340e-02
9.700000e-01 1.848080e-02 4.569275e-02
9.800000e-01 1.816837e-02 4.586003e-02
9.900000e-01 1.784177e-02 4.604589e-02
1.000000e+00 1.750182e-02 4.625094e-02
1.010000e+00 1.714935e-02 4.647578e-02
1.020000e+00 1.678523e-02 4.672093e-02
1.030000e+00 1.641033e-02 4.698692e-02
1.040000e+00 1.602557e-02 4.727421e-02
1.050000e+00 1.563187e-02 4.758324e-02
1.060000e+00 1.523017e-02 4.791440e-02
1.070000e+00 1.482142e-02 4.826806e-02
1.080000e+00 1.440660e-02 4.864452e-02
1.090000e+00 1.398670e-02 4.904406e-02
1.100000e+00 1.356271e-02 4.946692e-02
1.110000e+00 1.313563e-02 4.991329e-02
1.120000e+00 1.270648e-02 5.038332e-02
1.130000e+00 1.227627e-02 5.087712e-02
1.140000e+00 1.184603e-02 5.139476e-02
1.150000e+00 1.141678e-02 5.193625e-02
1.160000e+00 1.098955e-02 5.250158e-02
1.170000e+00 1.056535e-02 5.309069e-02
1.180000e+00 1.014522e-02 5.370347e-02
1.190000e+00 9.730157e-03 5.433977e-02
1.200000e+00 9.321180e-03 5.499941e-02
1.210000e+00 8.919288e-03 5.568216e-02
1.220000e+00 8.525472e-03 5.638774e-02
1.230000e+00 8.140711e-03 5.711584e-02
1.240000e+00 7.765971e-03 5.786610e-02
1.250000e+00 7.402202e-03 5.863814e-02
1.260000e+00 7.050339e-03 5.943151e-02
1.270000e+00 6.711297e-03 6.024575e-02
1.280000e+00 6.385972e-03 6.108034e-02
1.290000e+00 6.075238e-03 6.193474e-02
1.300000e+00 5.779947e-03 6.280836e-02
1.310000e+00 5.500925e-03 6.370059e-02
1.320000e+00 5.238973e-03 6.461077e-02
1.330000e+00 4.994866e-03 6.553822e-02
1.340000e+00 4.769347e-03 6.648222e-02
1.350000e+00 4.563133e-03 6.744202e-02
1.360000e+00 4.376906e-03 6.841684e-02
1.370000e+00 4.211319e-03 6.940588e-02
1.380000e+00 4.066989e-03 7.040830e-02
1.390000e+00 3.944499e-03 7.142325e-02
1.400000e+00 3.844398e-03 7.244984e-02
1.410000e+00 3.767195e-03 7.348717e-02
1.420000e+00 3.713365e-03 7.453431e-02
1.430000e+00 3.683342e-03 7.559032e-02
1.440000e+00 3.677522e-03 7.665424e-02
1.450000e+00 3.696262e-03 7.772508e-02
1.460000e+00 3.739876e-03 7.880185e-02
1.470000e+00 3.808638e-03 7.988355e-02
1.480000e+00 3.902782e-03 8.096915e-02
1.490000e+00 4.022498e-03 8.205764e-02
1.500000e+00 4.167933e-03 8.314797e-02
1.510000e+00 4.339194e-03 8.423910e-02
1.520000e+00 4.536342e-03 8.532999e-02
1.530000e+00 4.759397e-03 8.641960e-02
1.540000e+00 5.008335e-03 8.750687e-02
1.550000e+00 5.283088e-03 8.859075e-02
1.560000e+00 5.583547e-03 8.967021e-02
1.570000e+00 5.909558e-03 9.074420e-02
1.580000e+00 6.260924e-03 9.181169e-02
1.590000e+00 6.637407e-03 9.287166e-02
1.600000e+00 7.038727e-03 9.392309e-02
1.610000e+00 7.464560e-03 9.496498e-02
1.620000e+00 7.914544e-03 9.599633e-02
1.630000e+00 8.388273e-03 9.701618e-02
1.640000e+00 8.885303e-03 9.802357e-02
1.650000e+00 9.405150e-03 9.901755e-02
1.660000e+00 9.947293e-03 9.999721e-02
1.670000e+00 1.051117e-02 1.009616e-01
1.680000e+00 1.109619e-02 1.019100e-01
1.690000e+00 1.170171e-02 1.028414e-01
1.700000e+00 1.232707e-02 1.037550e-01
1.710000e+00 1.297157e-02 1.046501e-01
1.720000e+00 1.363447e-02 1.055258e-01
1.730000e+00 1.431501e-02 1.063815e-01
1.740000e+00 1.501239e-02 1.072164e-01
1.750000e+00 1.572580e-02 1.080298e-01
1.760000e+00 1.645437e-02 1.088212e-01
1.770000e+00 1.719723e-02 1.095899e-01
1.780000e+00 1.795349e-02 1.103353e-01
1.790000e+00 1.872220e-02 1.110569e-01
1.800000e+00 1.950244e-02 1.117542e-01
1.810000e+00 2.029322e-02 1.124268e-01
1.820000e+00 2.109358e-02 1.130743e-01
1.830000e+00 2.190249e-02 1.136962e-01
1.840000e+00 2.271896e-02 1.142923e-01
1.850000e+00 2.354194e-02 1.148622e-01
1.860000e+00 2.437040e-02 1.154057e-01
1.870000e+00 2.520328e-02 1.159226e-01
1.880000e+00 2.603953e-02 1.164128e-01
1.890000e+00 2.687807e-02 1.168761e-01
1.900000e+00 2.771785e-02 1.173124e-01
1.910000e+00 2.855777e-02 1.177217e-01
1.920000e+00 2.939678e-02 1.181040e-01
1.930000e+00 3.023379e-02 1.184594e-01
1.940000e+00 3.106773e-02 1.187879e-01
1.950000e+00 3.189754e-02 1.190898e-01
1.960000e+00 3.272216e-02 1.193652e-01
1.970000e+00 3.354053e-02 1.196143e-01
1.980000e+00 3.435161e-02 1.198374e-01
1.990000e+00 3.515436e-02 1.200349e-01
2.000000e+00 3.594778e-02 1.202070e-01
2.010000e+00 3.673086e-02 1.203541e-01
2.020000e+00 3.750260e-02 1.204768e-01
2.030000e+00 3.826205e-02 1.205755e-01
2.040000e+00 3.900825e-02 1.206507e-01
2.050000e+00 3.974028e-02 1.207030e-01
2.060000e+00 4.045722e-02 1.207329e-01
2.070000e+00 4.115822e-02 1.207411e-01
2.080000e+00 4.184240e-02 1.207283e-01
2.090000e+00 4.250895e-02 1.206952e-01
2.100000e+00 4.315706e-02 1.206424e-01
2.110000e+00 4.378598e-02 1.205709e-01
2.120000e+00 4.439497e-02 1.204812e-01
2.130000e+00 4.498332e-02 1.203744e-01
2.140000e+00 4.555037e-02 1.202513e-01
2.150000e+00 4.609549e-02 1.201126e-01
2.160000e+00 4.661808e-02 1.199594e-01
2.170000e+00 4.711759e-02 1.197926e-01
2.180000e+00 4.759349e-02 1.196131e-01
2.190000e+00 4.804530e-02 1.194220e-01
2.200000e+00 4.847258e-02 1.192201e-01
2.210000e+00 4.887493e-02 1.190085e-01
2.220000e+00 4.925200e-02 1.187883e-01
2.230000e+00 4.960346e-02 1.185604e-01
2.240000e+00 4.992904e-02 1.183260e-01
2.250000e+00 5.022852e-02 1.180861e-01
2.260000e+00 5.050171e-02 1.178417e-01
2.270000e+00 5.074845e-02 1.175940e-01
2.280000e+00 5.096867e-02 1.173441e-01
2.290000e+00 5.116229e-02 1.170930e-01
2.300000e+00 5.132931e-02 1.168417e-01
2.310000e+00 5.146977e-02 1.165916e-01
2.320000e+00 5.158374e-02 1.163435e-01
2.330000e+00 5.167135e-02 1.160985e-01
2.340000e+00 5.173277e-02 1.158579e-01
2.350000e+00 5.176821e-02 1.156226e-01
2.360000e+00 5.177792e-02 1.153936e-01
2.370000e+00 5.176220e-02 1.151722e-01
2.380000e+00 5.172139e-02 1.149592e-01
2.390000e+00 5.165589e-02 1.147557e-01
2.400000e+00 5.156611e-02 1.145627e-01
2.410000e+00 5.145252e-02 1.143812e-01
2.420000e+00 5.131562e-02 1.142122e-01
2.430000e+00 5.115597e-02 1.140566e-01
2.440000e+00 5.097415e-02 1.139154e-01
2.450000e+00 5.077077e-02 1.137894e-01
2.460000e+00 5.054650e-02 1.136796e-01
2.470000e+00 5.030203e-02 1.135867e-01
2.480000e+00 5.003808e-02 1.135116e-01
2.490000e+00 4.975543e-02 1.134550e-01
2.500000e+00 4.945485e-02 1.134178e-01
2.510000e+00 4.913718e-02 1.134007e-01
2.520000e+00 4.880326e-02 1.134043e-01
2.530000e+00 4.845398e-02 1.134293e-01
2.540000e+00 4.809024e-02 1.134763e-01
2.550000e+00 4.771297e-02 1.135459e-01
2.560000e+00 4.732312e-02 1.136386e-01
2.570000e+00 4.692168e-02 1.137549e-01
2.580000e+00 4.650962e-02 1.138954e-01
2.590000e+00 4.608797e-02 1.140604e-01
2.600000e+00 4.565776e-02 1.142503e-01
2.610000e+00 4.522003e-02 1.144654e-01
2.620000e+00 4.477584e-02 1.147060e-01
2.630000e+00 4.432625e-02 1.149724e-01
2.640000e+00 4.387235e-02 1.152648e-01
2.650000e+00 4.341522e-02 1.155833e-01
2.660000e+00 4.295595e-02 1.159280e-01
2.670000e+00 4.249564e-02 1.162991e-01
2.680000e+00 4.203538e-02 1.166966e-01
2.690000e+00 4.157628e-02 1.171204e-01
2.700000e+00 4.111943e-02 1.175705e-01
2.710000e+00 4.066592e-02 1.180467e-01
2.720000e+00 4.021684e-02 1.185489e-01
2.730000e+00 3.977328e-02 1.190770e-01
2.740000e+00 3.933630e-02 1.196306e-01
2.750000e+00 3.890696e-02 1.202095e-01
2.760000e+00 3.848632e-02 1.208133e-01
2.770000e+00 3.807541e-02 1.214417e-01
2.780000e+00 3.767524e-02 1.220943e-01
2.790000e+00 3.728682e-02 1.227707e-01
2.800000e+00 3.691113e-02 1.234702e-01
2.810000e+00 3.654914e-02 1.241924e-01
