#Parameters = {cpw=15; sigma_z=0.4; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
#"s / mm"	"Z [Real Part]"
#------------------------
-9.998078474300	1.7720830533772e-12
-9.995080549720	1.6605865292691e-12
-9.992082625140	1.5882324019224e-12
-9.989084700560	1.4352212145826e-12
-9.986086775980	1.6860883938258e-12
-9.983088851400	1.4708052116384e-12
-9.980090926820	1.5864532020696e-12
-9.977093002240	1.5615444041306e-12
-9.974095077660	1.6072105336855e-12
-9.971097153080	1.4399657475234e-12
-9.968099228500	1.4482686801697e-12
-9.965101303920	1.2922921597419e-12
-9.962103379340	1.4672468119328e-12
-9.959105454760	1.2958505594475e-12
-9.956107530180	1.0930217762296e-12
-9.953109605600	6.7490981082438e-13
-9.950111681020	8.0123300037235e-13
-9.947113756440	5.6341328671631e-13
-9.944115831860	6.8439887670592e-13
-9.941117907280	3.8193490173190e-13
-9.938119982700	3.2915197276584e-13
-9.935122058120	1.3996372175268e-13
-9.932124133540	2.1172478248181e-13
-9.929126208960	-1.7317545233807e-13
-9.926128284380	2.9653330879806e-15
-9.923130359800	1.2217172322480e-13
-9.920132435220	-1.7969918513162e-13
-9.917134510640	-2.8882344276931e-13
-9.914136586060	-2.7814824365258e-13
-9.911138661480	-3.2796583953065e-13
-9.908140736900	3.0839464114998e-14
-9.905142812320	4.9224529260478e-14
-9.902144887740	-2.2062078174575e-13
-9.899146963160	-1.3047465587115e-13
-9.896149038580	1.9333971733633e-13
-9.893151114000	2.0698024954104e-13
-9.890153189420	4.7563942731208e-13
-9.887155264840	5.0173435848631e-13
-9.884157340260	4.8038396025285e-13
-9.881159415680	2.9890557526844e-13
-9.878161491100	3.6473596982161e-13
-9.875163566520	3.2025597350190e-13
-9.872165641940	6.5771087891409e-13
-9.869167717360	6.7075834450121e-13
-9.866169792780	8.9315832609975e-13
-9.863171868200	7.2591353993764e-13
-9.860173943620	1.0408319138812e-12
-9.857176019040	1.0022825837374e-12
-9.854178094460	1.1137791078455e-12
-9.851180169880	1.2122281663665e-12
-9.848182245300	9.6254712035849e-13
-9.845184320720	6.9329487596986e-13
-9.842186396140	1.0378665807932e-12
-9.839188471560	1.0509140463803e-12
-9.836190546980	1.1458047051957e-12
-9.833192622400	1.0651476452026e-12
-9.830194697820	1.1653759035764e-12
-9.827196773240	9.0324045859888e-13
-9.824198848660	9.3230072286109e-13
-9.821200924080	8.0360526684274e-13
-9.818202999500	9.4178978874263e-13
-9.815205074920	1.0675199116730e-12
-9.812207150340	1.0426111137340e-12
-9.809209225760	1.0918356429944e-12
-9.806211301180	1.3741353529702e-12
-9.803213376600	9.4712738830100e-13
-9.800215452020	9.8686285167993e-13
-9.797217527440	5.9840421715448e-13
-9.794219602860	2.9119570923969e-13
-9.791221678280	5.9899728377208e-14
-9.788223753700	-9.6076792050571e-14
-9.785225829120	-5.7527461906823e-14
-9.782227904540	-1.3462612219432e-13
-9.779229979960	-2.1291091571701e-13
-9.776232055380	-3.3864103864738e-13
-9.773234130800	-4.5903356201939e-13
-9.770236206220	-5.8417061833217e-13
-9.767238281640	-9.4949965477138e-13
-9.764240357060	-9.3052152300830e-13
-9.761242432480	-9.1984632389157e-13
-9.758244507900	-1.0716713779962e-12
-9.755246583320	-1.3172009576810e-12
-9.752248658740	-9.5661645418253e-13
-9.749250734160	-1.3883689517925e-12
-9.746252809580	-1.1131860412279e-12
-9.743254885000	-9.6729165329926e-13
-9.740256960420	-1.2163796326896e-12
-9.737259035840	-1.1203028406391e-12
-9.734261111260	-7.6861433640456e-13
-9.731263186680	-6.8143354361794e-13
-9.728265262100	-6.4525647994457e-13
-9.725267337520	-4.2522876481641e-13
-9.722269412940	-3.9498236731901e-13
-9.719271488360	-5.8891515127294e-13
-9.716273563780	-6.9092260949947e-13
-9.713275639200	-2.8052051012296e-13
-9.710277714620	-2.9475410894527e-13
-9.707279790040	-1.4174292160547e-13
-9.704281865460	-8.6587726169033e-14
-9.701283940880	-1.6783785277970e-13
-9.698286016300	3.5524690394007e-13
-9.695288091720	7.7098660287495e-14
-9.692290167140	9.5483725432974e-14
-9.689292242560	5.0825809127987e-13
-9.686294317980	2.6332157821267e-13
-9.683296393400	9.7262925285763e-14
-9.680298468820	5.4680742142362e-13
-9.677300544240	7.4489167170072e-13
-9.674302619660	1.1001385756408e-12
-9.671304695080	1.1529215046068e-12
-9.668306770500	1.1855401685746e-12
-9.665308845920	1.1487700382837e-12
-9.662310921340	1.2442537637166e-12
-9.659312996760	1.4209876157603e-12
-9.656315072180	1.4808873441375e-12
-9.653317147600	1.3628670872359e-12
-9.650319223020	1.4346281479650e-12
-9.647321298440	1.4257321487011e-12
-9.644323373860	1.6232233323606e-12
-9.641325449280	1.5170644078109e-12
-9.638327524700	1.4850388104607e-12
-9.635329600120	1.3978580176740e-12
-9.632331675540	1.1303849731382e-12
-9.629333750960	1.0728575112314e-12
-9.626335826380	1.0633684453498e-12
-9.623337901800	1.1659689701940e-12
-9.620339977220	1.2590804291566e-12
