#Parameters = {cpw=15; sigma_z=0.4; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
# Transverse RW dipolar bunch wake, x-plane
# Bellows length has been subtracted from the RW impedance.
# No beta multiplication is applied in this cell.
# Z_perp unit: Ohm/m
#"s / mm"	"W_perp [V/pC/m]"
#------------------------
-9.998078474300	-3.0365010820921e-13
-9.995080549720	3.4160637173536e-13
-9.992082625140	-3.7956263526151e-13
-9.989084700560	4.3649703055074e-13
-9.986086775980	6.0730021641842e-13
-9.983088851400	3.0365010820921e-13
-9.980090926820	-5.5036582112919e-13
-9.977093002240	1.8978131763076e-14
-9.974095077660	-2.2773758115691e-13
-9.971097153080	-4.7445329407689e-13
-9.968099228500	-2.4671571291998e-13
-9.965101303920	5.3138768936612e-13
-9.962103379340	-2.2773758115691e-13
-9.959105454760	-3.7956263526151e-13
-9.956107530180	-5.5036582112919e-13
-9.953109605600	-2.2773758115691e-13
-9.950111681020	3.9854076702459e-13
-9.947113756440	3.2262823997229e-13
-9.944115831860	5.3138768936612e-13
-9.941117907280	4.7445329407689e-13
-9.938119982700	3.0365010820921e-13
-9.935122058120	8.7299406110148e-13
-9.932124133540	3.7956263526151e-13
-9.929126208960	1.1956223010738e-12
-9.926128284380	-5.6934395289227e-14
-9.923130359800	3.9854076702459e-13
-9.920132435220	4.9343142583997e-13
-9.917134510640	2.6569384468306e-13
-9.914136586060	2.0875944939383e-13
-9.911138661480	2.6569384468306e-13
-9.908140736900	8.9197219286456e-13
-9.905142812320	6.4525647994457e-13
-9.902144887740	1.8978131763076e-14
-9.899146963160	3.6058450349844e-13
-9.896149038580	7.9708153404918e-13
-9.893151114000	2.2773758115691e-13
-9.890153189420	5.6934395289227e-14
-9.887155264840	-7.5912527052303e-14
-9.884157340260	-4.9343142583997e-13
-9.881159415680	7.5912527052303e-14
-9.878161491100	-2.2773758115691e-13
-9.875163566520	1.5182505410461e-13
-9.872165641940	-1.8978131763076e-14
-9.869167717360	-1.7080318586768e-13
-9.866169792780	-1.8978131763076e-14
-9.863171868200	2.4671571291998e-13
-9.860173943620	0.0000000000000e+00
-9.857176019040	3.7956263526151e-14
-9.854178094460	-7.5912527052303e-14
-9.851180169880	6.0730021641842e-13
-9.848182245300	-1.8978131763076e-14
-9.845184320720	-1.8978131763076e-14
-9.842186396140	2.6569384468306e-13
-9.839188471560	3.0365010820921e-13
-9.836190546980	7.5912527052303e-14
-9.833192622400	5.1240955760304e-13
-9.830194697820	-2.4671571291998e-13
-9.827196773240	3.6058450349844e-13
-9.824198848660	-2.0875944939383e-13
-9.821200924080	-1.8978131763076e-14
-9.818202999500	-1.8978131763076e-13
-9.815205074920	1.5182505410461e-13
-9.812207150340	1.8978131763076e-14
-9.809209225760	5.6934395289227e-14
-9.806211301180	-3.7956263526151e-13
-9.803213376600	3.6058450349844e-13
-9.800215452020	5.6934395289227e-14
-9.797217527440	1.5182505410461e-13
-9.794219602860	1.1386879057845e-13
-9.791221678280	1.8978131763076e-13
-9.788223753700	1.5182505410461e-13
