#Parameters = {cpw=15; sigma_z=0.4; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
# Beta-weighted transverse dipolar bunch wake, x-plane
#"s / mm"	"W_perp_beta [V/pC]"
#------------------------
-9.983088851400	6.4051194700380e-13
-9.953109605600	5.6934395289227e-13
-9.923130359800	-7.8284793522687e-13
-9.893151114000	-1.2810238940076e-12
-9.863171868200	-1.5656958704537e-12
-9.833192622400	-9.9635191756147e-13
-9.803213376600	-1.1386879057845e-12
-9.773234130800	0.0000000000000e+00
-9.743254885000	-7.4726393817110e-13
-9.713275639200	-7.1167994111534e-14
-9.683296393400	-7.4726393817110e-13
-9.653317147600	-1.4589438792864e-12
-9.623337901800	-1.3166078910634e-12
-9.593358656000	-3.5583997055767e-14
-9.563379410200	-2.1350398233460e-13
-9.533400164400	1.4233598822307e-13
-9.503420918600	-2.1350398233460e-13
-9.473441672800	-3.9142396761344e-13
-9.443462427000	-3.9142396761344e-13
-9.413483181200	-3.5583997055767e-14
-9.383503935400	0.0000000000000e+00
-9.353524689600	-3.9142396761344e-13
-9.323545443800	-2.6687997791825e-13
-9.293566198000	9.6076792050571e-13
-9.263586952200	-3.2025597350190e-13
-9.233607706400	1.4767358778143e-12
-9.203628460600	-1.0675199116730e-12
-9.173649214800	-1.1742719028403e-12
-9.143669969000	-6.4051194700380e-13
-9.113690723200	2.8467197644614e-13
-9.083711477400	-1.4055678837028e-12
-9.053732231600	-1.3343998895913e-12
-9.023752985800	-6.2271994847592e-14
-8.993773740000	2.0460798307066e-13
-8.963794494200	-5.3375995583650e-14
-8.933815248400	-1.2276478984240e-12
-8.903836002600	-1.7791998527883e-14
-8.873856756800	-1.0230399153533e-13
-8.843877511000	8.3399993099454e-13
-8.813898265200	6.0492794994804e-13
-8.783919019400	8.8014792717623e-13
-8.753939773600	6.7109194447360e-13
-8.723960527800	1.4834078772623e-12
-8.693981282000	-1.7124798583088e-13
-8.664002036200	-1.3321758897753e-12
-8.634022790400	-6.6719994479563e-14
-8.604043544600	-7.2947193964322e-13
-8.574064298800	1.0052479168254e-12
-8.544085053000	4.0031996687738e-13
-8.514105807200	1.1297919065206e-12
-8.484126561400	-1.1208959072567e-12
-8.454147315600	-4.3590396393314e-13
-8.424168069800	-1.1564799043124e-13
-8.394188824000	1.2454398969518e-13
-8.364209578200	4.4035196356512e-13
-8.334230332400	3.9587196724541e-13
-8.304251086600	1.5567998711898e-13
-8.274271840800	2.0104958336508e-12
-8.244292595000	2.3129598086248e-13
-8.214313349200	5.8046395197220e-13
-8.184334103400	1.3343998895913e-13
-8.154354857600	8.0286393357074e-13
-8.124375611800	2.1906398187456e-13
-8.094396366000	-2.5840097861981e-13
-8.064417120200	-9.7466791935561e-13
-8.034437874400	5.1596795730862e-13
-8.004458628600	-1.5567998711898e-14
-7.974479382800	-8.4511993007446e-14
-7.944500137000	-4.0476796650935e-13
-7.914520891200	-3.6473596982161e-13
-7.884541645400	3.1135997423796e-13
-7.854562399600	4.1811196540526e-13
-7.824583153800	-8.0063993375475e-14
-7.794603908000	1.0853119102009e-12
-7.764624662200	-9.6966391976965e-13
-7.734645416400	-1.2632318954797e-12
-7.704666170600	-1.6546558630932e-12
-7.674686924800	1.0853119102009e-12
-7.644707679000	-1.1920639013682e-12
-7.614728433200	-4.4479996319709e-13
-7.584749187400	-9.0739192492206e-13
-7.554769941600	8.1843193228264e-13
-7.524790695800	0.0000000000000e+00
-7.494811450000	-7.1167994111534e-13
-7.464832204200	2.1350398233460e-13
-7.434852958400	2.8467197644614e-13
-7.404873712600	5.6934395289227e-13
-7.374894466800	-7.4726393817110e-13
-7.344915221000	-3.9142396761344e-13
-7.314935975200	3.5583997055767e-14
-7.284956729400	3.5583997055767e-13
-7.254977483600	3.5583997055767e-14
-7.224998237800	-6.4051194700380e-13
-7.195018992000	-3.2025597350190e-13
-7.165039746200	-1.4233598822307e-13
-7.135060500400	-8.5401592933841e-13
-7.105081254600	-5.6934395289227e-13
-7.075102008800	1.4233598822307e-12
-7.045122763000	-1.4233598822307e-13
-7.015143517200	-1.9215358410114e-12
-6.985164271400	1.4233598822307e-13
-6.955185025600	7.8284793522687e-13
-6.925205779800	-7.1167994111534e-13
-6.895226534000	-8.5401592933841e-13
-6.865247288200	-1.0675199116730e-12
-6.835268042400	3.5583997055767e-13
-6.805288796600	-5.6934395289227e-13
-6.775309550800	-2.1350398233460e-12
-6.745330305000	2.1350398233460e-13
-6.715351059200	-2.8467197644614e-13
-6.685371813400	2.1350398233460e-13
-6.655392567600	-7.1167994111534e-14
-6.625413321800	3.5583997055767e-13
-6.595434076000	7.1167994111534e-13
-6.565454830200	1.4233598822307e-13
-6.535475584400	-1.4233598822307e-13
-6.505496338600	-4.2700796466920e-13
-6.475517092800	4.2700796466920e-13
-6.445537847000	0.0000000000000e+00
-6.415558601200	9.9635191756147e-13
-6.385579355400	9.9635191756147e-13
-6.355600109600	4.2700796466920e-13
-6.325620863800	0.0000000000000e+00
-6.295641618000	-2.8467197644614e-13
-6.265662372200	1.1386879057845e-12
-6.235683126400	8.5401592933841e-13
-6.205703880600	7.1167994111534e-13
-6.175724634800	-2.8467197644614e-13
-6.145745389000	-1.2810238940076e-12
-6.115766143200	1.8503678468999e-12
-6.085786897400	7.1167994111534e-13
-6.055807651600	1.4233598822307e-13
-6.025828405800	1.5656958704537e-12
-5.995849160000	0.0000000000000e+00
-5.965869914200	1.4233598822307e-13
-5.935890668400	7.1167994111534e-13
-5.905911422600	-7.1167994111534e-13
-5.875932176800	4.2700796466920e-13
-5.845952931000	0.0000000000000e+00
-5.815973685200	-2.8467197644614e-13
-5.785994439400	-5.6934395289227e-13
-5.756015193600	4.2700796466920e-13
-5.726035947800	-1.4233598822307e-13
-5.696056702000	1.4233598822307e-13
-5.666077456200	2.8467197644614e-13
-5.636098210400	4.2700796466920e-13
-5.606118964600	-4.2700796466920e-13
-5.576139718800	-1.1386879057845e-12
-5.546160473000	-1.2810238940076e-12
-5.516181227200	5.6934395289227e-13
-5.486201981400	-7.1167994111534e-13
-5.456222735600	-9.9635191756147e-13
-5.426243489800	-7.1167994111534e-13
-5.396264244000	7.1167994111534e-13
-5.366284998200	1.4233598822307e-13
-5.336305752400	-7.1167994111534e-13
-5.306326506600	2.8467197644614e-13
-5.276347260800	8.5401592933841e-13
-5.246368015000	-8.5401592933841e-13
-5.216388769200	0.0000000000000e+00
-5.186409523400	0.0000000000000e+00
-5.156430277600	5.6934395289227e-13
-5.126451031800	2.8467197644614e-13
-5.096471786000	0.0000000000000e+00
-5.066492540200	-5.6934395289227e-13
-5.036513294400	0.0000000000000e+00
-5.006534048600	-2.8467197644614e-13
-4.976554802800	0.0000000000000e+00
-4.946575557000	-1.4233598822307e-12
-4.916596311200	2.8467197644614e-13
-4.886617065400	-8.5401592933841e-13
-4.856637819600	-5.6934395289227e-13
-4.826658573800	5.6934395289227e-13
-4.796679328000	-5.6934395289227e-13
-4.766700082200	-2.8467197644614e-13
-4.736720836400	-2.8467197644614e-13
-4.706741590600	-2.8467197644614e-13
-4.676762344800	5.6934395289227e-13
-4.646783099000	-8.5401592933841e-13
-4.616803853200	-5.6934395289227e-13
-4.586824607400	-2.8467197644614e-13
-4.556845361600	5.6934395289227e-13
-4.526866115800	-2.8467197644614e-13
-4.496886870000	0.0000000000000e+00
-4.466907624200	-2.8467197644614e-13
-4.436928378400	1.4233598822307e-12
-4.406949132600	1.1386879057845e-12
-4.376969886800	-2.8467197644614e-13
-4.346990641000	2.8467197644614e-13
-4.317011395200	8.5401592933841e-13
-4.287032149400	1.4233598822307e-12
-4.257052903600	1.8503678468999e-12
-4.227073657800	8.5401592933841e-13
-4.197094412000	1.2810238940076e-12
-4.167115166200	8.5401592933841e-13
-4.137135920400	-7.1167994111534e-13
-4.107156674600	0.0000000000000e+00
-4.077177428800	5.6934395289227e-13
-4.047198183000	4.2700796466920e-13
-4.017218937200	-5.6934395289227e-13
-3.987239691400	-1.4233598822307e-12
-3.957260445600	1.7080318586768e-12
-3.927281199800	4.2700796466920e-13
-3.897301954000	4.2700796466920e-13
-3.867322708200	-4.2700796466920e-13
-3.837343462400	8.5401592933841e-13
-3.807364216600	7.1167994111534e-13
-3.777384970800	-4.2700796466920e-13
-3.747405725000	1.4233598822307e-13
-3.717426479200	-5.6934395289227e-13
-3.687447233400	0.0000000000000e+00
-3.657467987600	-1.4233598822307e-13
-3.627488741800	-2.8467197644614e-13
-3.597509496000	8.5401592933841e-13
-3.567530250200	1.4233598822307e-12
-3.537551004400	8.5401592933841e-13
-3.507571758600	-1.5656958704537e-12
-3.477592512800	8.5401592933841e-13
-3.447613267000	-4.2700796466920e-13
-3.417634021200	0.0000000000000e+00
-3.387654775400	0.0000000000000e+00
-3.357675529600	8.5401592933841e-13
-3.327696283800	-1.4233598822307e-13
-3.297717038000	9.9635191756147e-13
-3.267737792200	-5.6934395289227e-13
-3.237758546400	7.1167994111534e-13
-3.207779300600	1.4233598822307e-13
-3.177800054800	4.2700796466920e-13
-3.147820809000	0.0000000000000e+00
-3.117841563200	1.4233598822307e-12
-3.087862317400	4.2700796466920e-13
-3.057883071600	2.2773758115691e-12
-3.027903825800	2.3485438056806e-12
-2.997924580000	5.9781115053688e-12
-2.967945334200	1.0105855163838e-11
-2.937966088400	1.7009150592657e-11
-2.907986842600	2.9961725520956e-11
-2.878007596800	5.1454459742639e-11
-2.848028351000	9.0739192492206e-11
-2.818049105200	1.5742360297471e-10
-2.788069859400	2.6887268175337e-10
-2.758090613600	4.6337480966020e-10
-2.728111367800	7.8925305469691e-10
-2.698132122000	1.3383852972615e-09
-2.668152876200	2.2630710447527e-09
-2.638173630400	3.8013672374735e-09
-2.608194384600	6.3508894585251e-09
-2.578215138800	1.0556028310590e-08
-2.548235893000	1.7449893980189e-08
-2.518256647200	2.8692729017953e-08
-2.488277401400	4.6921200853722e-08
-2.458298155600	7.6320236629235e-08
-2.428318909800	1.2347451266367e-07
-2.398339664000	1.9869349575203e-07
-2.368360418200	3.1801846955903e-07
-2.338381172400	5.0627782998238e-07
-2.308401926600	8.0168320317243e-07
-2.278422680800	1.2626739917819e-06
-2.248443435000	1.9781362093203e-06
-2.218464189200	3.0824849530181e-06
-2.188484943400	4.7778117812901e-06
-2.158505697600	7.3661834555152e-06
-2.128526451800	1.1296507848363e-05
-2.098547206000	1.7232050858566e-05
-2.068567960200	2.6147121009890e-05
-2.038588714400	3.9464625849690e-05
-2.008609468600	5.9250555931763e-05
-1.978630222800	8.8487208513544e-05
-1.948650977000	1.3145453609287e-04
-1.918671731200	1.9425899732905e-04
-1.888692485400	2.8556225250406e-04
-1.858713239600	4.1757863167454e-04
-1.828733993800	6.0743160774178e-04
-1.798754748000	8.7898634790722e-04
-1.768775502200	1.2653090000723e-03
-1.738796256400	1.8119450860565e-03
-1.708817010600	2.5812604010844e-03
-1.678837764800	3.6581498822155e-03
-1.648858519000	5.1574942528615e-03
-1.618879273200	7.2338324632648e-03
-1.588900027400	1.0093821031160e-02
-1.558920781600	1.4012170582022e-02
-1.528941535800	1.9351885130763e-02
-1.498962290000	2.6589781083378e-02
-1.468983044200	3.6348428939683e-02
-1.439003798400	4.9435839001490e-02
-1.409024552600	6.6894399021995e-02
-1.379045306800	9.0060760935992e-02
-1.349066061000	1.2063855800984e-01
-1.319086815200	1.6078600291304e-01
-1.289107569400	2.1322055931567e-01
-1.259128323600	2.8134298007786e-01
-1.229149077800	3.6938304700336e-01
-1.199169832000	4.8256931233547e-01
-1.169190586200	6.2732501018308e-01
-1.139211340400	8.1149205674888e-01
-1.109232094600	1.0445846710473e+00
-1.079252848800	1.3380736045602e+00
-1.049273603000	1.7057012531168e+00
-1.019294357200	2.1638270269367e+00
-0.989315111400	2.7318012705692e+00
-0.959335865600	3.4323647579321e+00
-0.929356619800	4.2920693523553e+00
-0.899377374000	5.3417138433081e+00
-0.869398128200	6.6167872877921e+00
-0.839418882400	8.1579104464001e+00
-0.809439636600	1.0011264175101e+01
-0.779460390800	1.2228991989664e+01
-0.749481145000	1.4869562545261e+01
-0.719501899200	1.7998076562213e+01
-0.689522653400	2.1686501875235e+01
-0.659543407600	2.6013819882834e+01
-0.629564161800	3.1066066813206e+01
-0.599584916000	3.6936253978635e+01
-0.569605670200	4.3724152618780e+01
-0.539626424400	5.1535931067716e+01
-0.509647178600	6.0483634823508e+01
-0.479667932800	7.0684503623684e+01
-0.449688687000	8.2260123770072e+01
-0.419709441200	9.5335418600375e+01
-0.389730195400	1.1003748503554e+02
-0.359750949600	1.2649428937243e+02
-0.329771703800	1.4483324074639e+02
-0.299792458000	1.6517966574545e+02
-0.269813212200	1.8765521229508e+02
-0.239833966400	2.1237621493064e+02
-0.209854720600	2.3945205672787e+02
-0.179875474800	2.6898356528950e+02
-0.149896229000	3.0106148114302e+02
-0.119916983200	3.3576503659372e+02
-0.089937737400	3.7316068145038e+02
-0.059958491600	4.1330098911303e+02
-0.029979245800	4.5622377235229e+02
0.000000000000	5.0195143285041e+02
0.029979245800	5.5049056239527e+02
0.059958491600	6.0183180675019e+02
0.089937737400	6.5594999592506e+02
0.119916983200	7.1280453713146e+02
0.149896229000	7.7234005940745e+02
0.179875474800	8.3448729202866e+02
0.209854720600	8.9916415264426e+02
0.239833966400	9.6627701581598e+02
0.269813212200	1.0357221284793e+03
0.299792458000	1.1073871359173e+03
0.329771703800	1.1811526802113e+03
0.359750949600	1.2568940328208e+03
0.389730195400	1.3344827239029e+03
0.419709441200	1.4137881331089e+03
0.449688687000	1.4946790097473e+03
0.479667932800	1.5770248942042e+03
0.509647178600	1.6606974171437e+03
0.539626424400	1.7455714580746e+03
0.569605670200	1.8315261501176e+03
0.599584916000	1.9184457230543e+03
0.629564161800	2.0062201817643e+03
0.659543407600	2.0947458218167e+03
0.689522653400	2.1839255881172e+03
0.719501899200	2.2736692860391e+03
0.749481145000	2.3638936573101e+03
0.779460390800	2.4545223350595e+03
0.809439636600	2.5454856938610e+03
0.839418882400	2.6367206113587e+03
0.869398128200	2.7281701582074e+03
0.899377374000	2.8197832326525e+03
0.929356619800	2.9115141552265e+03
0.959335865600	3.0033222378213e+03
0.989315111400	3.0951713399263e+03
1.019294357200	3.1870294231750e+03
1.049273603000	3.2788681136135e+03
1.079252848800	3.3706622793675e+03
1.109232094600	3.4623896297002e+03
1.139211340400	3.5540303398727e+03
1.169190586200	3.6455667047875e+03
1.199169832000	3.7369828231239e+03
1.229149077800	3.8282643125933e+03
1.259128323600	3.9193980560430e+03
1.289107569400	4.0103719774217e+03
1.319086815200	4.1011748460782e+03
1.349066061000	4.1917961074740e+03
1.379045306800	4.2822257381446e+03
1.409024552600	4.3724541226091e+03
1.439003798400	4.4624719498941e+03
1.468983044200	4.5522701273802e+03
1.498962290000	4.6418397097766e+03
1.528941535800	4.7311718411752e+03
1.558920781600	4.8202577083010e+03
1.588900027400	4.9090885032617e+03
1.618879273200	4.9976553942871e+03
1.648858519000	5.0859495031356e+03
1.678837764800	5.1739618880240e+03
1.708817010600	5.2616835311007e+03
1.738796256400	5.3491053296352e+03
1.768775502200	5.4362180902313e+03
1.798754748000	5.5230125254897e+03
1.828733993800	5.6094792526491e+03
1.858713239600	5.6956087938232e+03
1.888692485400	5.7813915775240e+03
1.918671731200	5.8668179412244e+03
1.948650977000	5.9518781347641e+03
1.978630222800	6.0365623244426e+03
2.008609468600	6.1208605976799e+03
2.038588714400	6.2047629681465e+03
2.068567960200	6.2882593812924e+03
2.098547206000	6.3713397202147e+03
2.128526451800	6.4539938118198e+03
2.158505697600	6.5362114332453e+03
2.188484943400	6.6179823185132e+03
2.218464189200	6.6992961653931e+03
2.248443435000	6.7801426424554e+03
2.278422680800	6.8605113963015e+03
2.308401926600	6.9403920589561e+03
2.338381172400	7.0197742554120e+03
2.368360418200	7.0986476113152e+03
2.398339664000	7.1770017607819e+03
2.428318909800	7.2548263543382e+03
2.458298155600	7.3321110669727e+03
2.488277401400	7.4088456062945e+03
2.518256647200	7.4850197207875e+03
2.548235893000	7.5606232081522e+03
2.578215138800	7.6356459237264e+03
2.608194384600	7.7100777889770e+03
2.638173630400	7.7839088000532e+03
2.668152876200	7.8571290363922e+03
2.698132122000	7.9297286693698e+03
2.728111367800	8.0016979709853e+03
2.758090613600	8.0730273225735e+03
2.788069859400	8.1437072235323e+03
2.818049105200	8.2137283000593e+03
2.848028351000	8.2830813138866e+03
2.878007596800	8.3517571710050e+03
2.907986842600	8.4197469303681e+03
2.937966088400	8.4870418125673e+03
2.967945334200	8.5536332084683e+03
2.997924580000	8.6195126877997e+03
3.027903825800	8.6846720076839e+03
3.057883071600	8.7491031211017e+03
3.087862317400	8.8127981852813e+03
3.117841563200	8.8757495700011e+03
3.147820809000	8.9379498657991e+03
3.177800054800	8.9993918920777e+03
3.207779300600	9.0600687050963e+03
3.237758546400	9.1199736058417e+03
3.267737792200	9.1791001477675e+03
3.297717038000	9.2374421443939e+03
3.327696283800	9.2949936767585e+03
3.357675529600	9.3517491007099e+03
3.387654775400	9.4077030540356e+03
3.417634021200	9.4628504634148e+03
3.447613267000	9.5171865511886e+03
3.477592512800	9.5707068419395e+03
3.507571758600	9.6234071688716e+03
3.537551004400	9.6752836799833e+03
3.567530250200	9.7263328440260e+03
