#Parameters = {cpw=15; sigma_z=0.4; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
# Beta-weighted transverse dipolar bunch wake, y-plane
#"s / mm"	"W_perp_beta [V/pC]"
#------------------------
-9.983088851400	1.6012798675095e-13
-9.953109605600	-2.8467197644614e-13
-9.923130359800	-1.9571198380672e-13
-9.893151114000	-3.5583997055767e-14
-9.863171868200	-5.1596795730862e-13
-9.833192622400	-5.3375995583650e-14
-9.803213376600	-3.3804797202979e-13
-9.773234130800	-7.1167994111534e-14
-9.743254885000	-2.1350398233460e-13
-9.713275639200	-2.8467197644614e-13
-9.683296393400	-8.8959992639417e-15
-9.653317147600	-1.7791998527883e-14
-9.623337901800	-3.2025597350190e-13
-9.593358656000	-2.7577597718219e-13
-9.563379410200	8.0063993375475e-14
-9.533400164400	-2.6687997791825e-13
-9.503420918600	6.2271994847592e-14
-9.473441672800	8.0063993375475e-14
-9.443462427000	-8.0063993375475e-14
-9.413483181200	8.8959992639417e-14
-9.383503935400	-2.3129598086248e-13
-9.353524689600	-2.0015998343869e-13
-9.323545443800	-1.5567998711898e-13
-9.293566198000	1.5123198748701e-13
-9.263586952200	1.3343998895913e-13
-9.233607706400	8.8959992639417e-15
-9.203628460600	-5.7823995215621e-14
-9.173649214800	2.2239998159854e-13
-9.143669969000	-1.1564799043124e-13
-9.113690723200	-2.4463997975840e-13
-9.083711477400	-2.8689597626212e-13
-9.053732231600	-1.2676798951117e-13
-9.023752985800	-7.5615993743505e-14
-8.993773740000	7.3391993927519e-14
-8.963794494200	-3.1135997423796e-14
-8.933815248400	-1.8903998435876e-14
-8.903836002600	-6.6719994479563e-14
-8.873856756800	-5.2486395657256e-13
-8.843877511000	-8.3399993099454e-15
-8.813898265200	1.8848398440477e-13
-8.783919019400	9.6952491978115e-14
-8.753939773600	1.0452799135132e-13
-8.723960527800	1.0591799123631e-13
-8.693981282000	1.1231199070726e-13
-8.664002036200	-6.1159994939599e-15
-8.634022790400	5.1707995721661e-14
-8.604043544600	1.2676798951117e-13
-8.574064298800	3.5917597028165e-13
-8.544085053000	-1.1787199024723e-13
-8.514105807200	7.2279994019526e-14
-8.484126561400	1.8459198472679e-13
-8.454147315600	1.8014398509482e-13
-8.424168069800	1.7013598592289e-13
-8.394188824000	1.7903198518683e-13
-8.364209578200	-2.7799997699818e-13
-8.334230332400	-4.0031996687738e-14
-8.304251086600	-1.3455198886712e-13
-8.274271840800	2.0127198334668e-13
-8.244292595000	2.2073198173655e-13
-8.214313349200	2.9245597580208e-13
-8.184334103400	-6.8943994295548e-14
-8.154354857600	8.0619993329472e-15
-8.124375611800	8.2287993191461e-14
-8.094396366000	-1.6803361109684e-13
-8.064417120200	6.5746994560069e-14
-8.034437874400	-1.3371798893612e-13
-8.004458628600	-9.8967991811352e-14
-7.974479382800	2.0238398325467e-13
-7.944500137000	-1.3788798859110e-13
-7.914520891200	-1.9459998389873e-13
-7.884541645400	1.5790398693497e-13
-7.854562399600	2.3129598086248e-13
-7.824583153800	2.1350398233460e-13
-7.794603908000	1.2676798951117e-13
-7.764624662200	1.7791998527883e-14
-7.734645416400	8.8959992639417e-14
-7.704666170600	-2.7132797755022e-13
-7.674686924800	-5.7823995215621e-14
-7.644707679000	-1.6012798675095e-13
-7.614728433200	-2.0460798307066e-13
-7.584749187400	-4.0031996687738e-14
-7.554769941600	-2.4908797939037e-13
-7.524790695800	-1.6012798675095e-13
-7.494811450000	-1.7791998527883e-14
-7.464832204200	-2.5798397865431e-13
