#Parameters = {cpw=15; sigma_z=0.4; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
#"s / mm"	"Z [Real Part]"
#------------------------
-9.983088851400	-1.9764060864714e-16
-9.953109605600	-2.8885935109967e-16
-9.923130359800	-1.5203123742088e-16
-9.893151114000	-3.5835934534921e-16
-9.863171868200	-2.5845310361549e-16
-9.833192622400	-3.5835934534921e-16
-9.803213376600	-2.7799997699818e-16
-9.773234130800	-3.0406247484176e-16
-9.743254885000	-2.5193747915460e-16
-9.713275639200	-3.2578122304474e-16
-9.683296393400	-3.1709372376355e-16
-9.653317147600	-3.8007809355220e-16
-9.623337901800	-4.2785933959876e-16
-9.593358656000	-4.7129683600472e-16
-9.563379410200	-3.8007809355220e-16
-9.533400164400	-2.9971872520116e-16
-9.503420918600	-2.8668747627937e-16
-9.473441672800	-4.6478121154383e-16
-9.443462427000	-4.7129683600472e-16
-9.413483181200	-5.7337495255874e-16
-9.383503935400	-4.5174996262204e-16
-9.353524689600	-5.1473433241069e-16
-9.323545443800	-4.8649995974681e-16
-9.293566198000	-5.1473433241069e-16
-9.263586952200	-4.7781246046562e-16
-9.233607706400	-5.1690620723099e-16
-9.203628460600	-4.8867183456711e-16
-9.173649214800	-5.8423432666024e-16
-9.143669969000	-7.1020306623753e-16
-9.113690723200	-6.1029682450381e-16
-9.083711477400	-4.9518745902801e-16
-9.053732231600	-4.0614059139578e-16
-9.023752985800	-3.5618747052892e-16
-8.993773740000	-5.1690620723099e-16
-8.963794494200	-5.4514057989487e-16
-8.933815248400	-5.7120307773845e-16
-8.903836002600	-5.4948432953546e-16
-8.873856756800	-6.1464057414441e-16
-8.843877511000	-5.6034370363695e-16
-8.813898265200	-4.9735933384830e-16
-8.783919019400	-3.7356246909130e-16
-8.753939773600	-5.8423432666024e-16
-8.723960527800	-5.6685932809785e-16
-8.693981282000	-6.2332807342560e-16
-8.664002036200	-6.5373432090978e-16
-8.634022790400	-6.1029682450381e-16
-8.604043544600	-5.6468745327755e-16
-8.574064298800	-5.6251557845725e-16
-8.544085053000	-7.5689837487395e-16
-8.514105807200	-5.5925776622680e-16
-8.484126561400	-5.6794526550800e-16
-8.454147315600	-6.5373432090978e-16
-8.424168069800	-6.2441401083575e-16
-8.394188824000	-5.3210933097308e-16
-8.364209578200	-5.3536714320352e-16
