# Freq(GHz) Re(Zx/y) Im(Zx/y)
# Unit: Ohm/m
# Transverse offset used for normalization: 1.200000e+01 mm
0.000000e+00 0.000000e+00 0.000000e+00
1.000000e-02 -1.830509e+00 2.848864e+03
2.000000e-02 -3.639799e+00 2.849825e+03
3.000000e-02 -5.406652e+00 2.851425e+03
4.000000e-02 -7.109850e+00 2.853663e+03
5.000000e-02 -8.728170e+00 2.856538e+03
6.000000e-02 -1.024039e+01 2.860050e+03
7.000000e-02 -1.162529e+01 2.864195e+03
8.000000e-02 -1.286164e+01 2.868971e+03
9.000000e-02 -1.392820e+01 2.874376e+03
1.000000e-01 -1.480375e+01 2.880407e+03
1.100000e-01 -1.546705e+01 2.887060e+03
1.200000e-01 -1.589684e+01 2.894332e+03
1.300000e-01 -1.607187e+01 2.902218e+03
1.400000e-01 -1.597087e+01 2.910714e+03
1.500000e-01 -1.557258e+01 2.919815e+03
1.600000e-01 -1.485569e+01 2.929516e+03
1.700000e-01 -1.379892e+01 2.939812e+03
1.800000e-01 -1.238092e+01 2.950695e+03
1.900000e-01 -1.058037e+01 2.962161e+03
2.000000e-01 -8.375894e+00 2.974203e+03
2.100000e-01 -5.746094e+00 2.986813e+03
2.200000e-01 -2.669544e+00 2.999985e+03
2.300000e-01 8.752173e-01 3.013710e+03
2.400000e-01 4.909696e+00 3.027981e+03
2.500000e-01 9.455441e+00 3.042789e+03
2.600000e-01 1.453406e+01 3.058126e+03
2.700000e-01 2.016720e+01 3.073982e+03
2.800000e-01 2.637661e+01 3.090347e+03
2.900000e-01 3.318408e+01 3.107213e+03
3.000000e-01 4.061150e+01 3.124569e+03
3.100000e-01 4.868083e+01 3.142405e+03
3.200000e-01 5.741416e+01 3.160709e+03
3.300000e-01 6.683367e+01 3.179470e+03
3.400000e-01 7.696169e+01 3.198677e+03
3.500000e-01 8.782065e+01 3.218318e+03
3.600000e-01 9.943316e+01 3.238381e+03
3.700000e-01 1.118220e+02 3.258852e+03
3.800000e-01 1.250101e+02 3.279719e+03
3.900000e-01 1.390206e+02 3.300968e+03
4.000000e-01 1.538769e+02 3.322586e+03
4.100000e-01 1.696026e+02 3.344559e+03
4.200000e-01 1.862215e+02 3.366871e+03
4.300000e-01 2.037579e+02 3.389508e+03
4.400000e-01 2.222361e+02 3.412456e+03
4.500000e-01 2.416810e+02 3.435697e+03
4.600000e-01 2.621178e+02 3.459216e+03
4.700000e-01 2.835721e+02 3.482997e+03
4.800000e-01 3.060698e+02 3.507022e+03
4.900000e-01 3.296375e+02 3.531275e+03
5.000000e-01 3.543022e+02 3.555737e+03
5.100000e-01 3.800914e+02 3.580391e+03
5.200000e-01 4.070334e+02 3.605218e+03
5.300000e-01 4.351569e+02 3.630199e+03
5.400000e-01 4.644916e+02 3.655314e+03
5.500000e-01 4.950677e+02 3.680543e+03
5.600000e-01 5.269165e+02 3.705867e+03
5.700000e-01 5.600701e+02 3.731264e+03
5.800000e-01 5.945616e+02 3.756712e+03
5.900000e-01 6.304251e+02 3.782190e+03
6.000000e-01 6.676959e+02 3.807675e+03
6.100000e-01 7.064107e+02 3.833144e+03
6.200000e-01 7.466075e+02 3.858573e+03
6.300000e-01 7.883256e+02 3.883938e+03
6.400000e-01 8.316063e+02 3.909213e+03
6.500000e-01 8.764923e+02 3.934374e+03
6.600000e-01 9.230283e+02 3.959392e+03
6.700000e-01 9.712613e+02 3.984242e+03
6.800000e-01 1.021240e+03 4.008895e+03
6.900000e-01 1.073017e+03 4.033321e+03
7.000000e-01 1.126645e+03 4.057492e+03
7.100000e-01 1.182181e+03 4.081376e+03
7.200000e-01 1.239687e+03 4.104941e+03
7.300000e-01 1.299226e+03 4.128154e+03
7.400000e-01 1.360865e+03 4.150981e+03
7.500000e-01 1.424675e+03 4.173386e+03
7.600000e-01 1.490734e+03 4.195332e+03
7.700000e-01 1.559122e+03 4.216782e+03
7.800000e-01 1.629925e+03 4.237693e+03
7.900000e-01 1.703236e+03 4.258026e+03
8.000000e-01 1.779154e+03 4.277736e+03
8.100000e-01 1.857785e+03 4.296776e+03
8.200000e-01 1.939242e+03 4.315099e+03
8.300000e-01 2.023650e+03 4.332655e+03
8.400000e-01 2.111140e+03 4.349389e+03
8.500000e-01 2.201855e+03 4.365245e+03
8.600000e-01 2.295950e+03 4.380164e+03
8.700000e-01 2.393594e+03 4.394083e+03
8.800000e-01 2.494969e+03 4.406933e+03
8.900000e-01 2.600275e+03 4.418643e+03
9.000000e-01 2.709729e+03 4.429137e+03
9.100000e-01 2.823569e+03 4.438331e+03
9.200000e-01 2.942055e+03 4.446138e+03
9.300000e-01 3.065476e+03 4.452462e+03
9.400000e-01 3.194147e+03 4.457200e+03
9.500000e-01 3.328417e+03 4.460241e+03
9.600000e-01 3.468674e+03 4.461462e+03
9.700000e-01 3.615347e+03 4.460731e+03
9.800000e-01 3.768916e+03 4.457903e+03
9.900000e-01 3.929915e+03 4.452818e+03
1.000000e+00 4.098945e+03 4.445300e+03
1.010000e+00 4.276680e+03 4.435154e+03
1.020000e+00 4.463882e+03 4.422163e+03
1.030000e+00 4.661414e+03 4.406085e+03
1.040000e+00 4.870258e+03 4.386650e+03
1.050000e+00 5.091534e+03 4.363552e+03
1.060000e+00 5.326531e+03 4.336446e+03
1.070000e+00 5.576731e+03 4.304939e+03
1.080000e+00 5.843857e+03 4.268585e+03
1.090000e+00 6.129912e+03 4.226869e+03
1.100000e+00 6.437250e+03 4.179196e+03
1.110000e+00 6.768647e+03 4.124878e+03
1.120000e+00 7.127403e+03 4.063108e+03
1.130000e+00 7.517475e+03 3.992936e+03
1.140000e+00 7.943644e+03 3.913236e+03
1.150000e+00 8.411738e+03 3.822663e+03
1.160000e+00 8.928946e+03 3.719597e+03
1.170000e+00 9.504225e+03 3.602066e+03
1.180000e+00 1.014889e+04 3.467652e+03
1.190000e+00 1.087743e+04 3.313351e+03
1.200000e+00 1.170873e+04 3.135398e+03
1.210000e+00 1.266783e+04 2.929012e+03
1.220000e+00 1.378867e+04 2.688042e+03
1.230000e+00 1.511845e+04 2.404483e+03
