#Parameters = {cpw=15; sigma_z=0.4; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
# Total transverse dipolar wake, x-plane
# RF/BPM beta factors are dimensionless: sum(beta_i/<beta>)
#"s / mm"	"W_perp_total [V/pC/m]"
#------------------------
-10.000000000000	2.3263866225701e-13
-9.970000000000	2.0442721564116e-13
-9.940000000000	4.0185122515452e-13
-9.910000000000	-4.8474746387202e-13
-9.880000000000	-1.4509778060660e-12
-9.850000000000	-9.6381490983098e-13
-9.820000000000	-1.1378865887166e-12
-9.790000000000	-4.5899575051626e-13
-9.760000000000	2.9800755924668e-13
-9.730000000000	1.0133914099425e-14
-9.700000000000	2.0746060848198e-13
-9.670000000000	-3.3091165994791e-13
-9.640000000000	-5.3728968532916e-13
-9.610000000000	4.7957441939242e-13
-9.580000000000	4.6577352576203e-13
-9.550000000000	2.8237933823035e-13
-9.520000000000	5.5424991097066e-13
-9.490000000000	-2.0244204401866e-14
-9.460000000000	4.2485972849393e-13
-9.430000000000	6.8662923466703e-13
-9.400000000000	2.7376890391545e-13
-9.370000000000	5.1712857888452e-13
-9.340000000000	1.6211371355926e-13
-9.310000000000	7.3429240045977e-13
-9.280000000000	1.0620582700695e-12
-9.250000000000	1.0948036584115e-12
-9.220000000000	5.3688517463921e-13
-9.190000000000	-4.1197593388257e-13
-9.160000000000	-4.4932168923253e-13
-9.130000000000	6.4722812150225e-13
-9.100000000000	4.7236441955736e-13
-9.070000000000	-9.3688473366338e-13
-9.040000000000	5.0636762342594e-14
-9.010000000000	4.9516998263604e-14
-8.980000000000	-1.5840591356160e-13
-8.950000000000	-1.0333279690763e-12
-8.920000000000	-8.6920110112656e-13
-8.890000000000	-5.0335841045783e-13
-8.860000000000	-3.2785156881888e-13
-8.830000000000	9.1214174725358e-13
-8.800000000000	-1.2868614745144e-14
-8.770000000000	6.5619550927641e-13
-8.740000000000	9.6319323650763e-13
-8.710000000000	3.3260195763081e-13
-8.680000000000	-1.0328000660907e-12
-8.650000000000	-9.9052180729415e-13
-8.620000000000	-5.8179069872817e-13
-8.590000000000	9.8880336561466e-15
-8.560000000000	5.7402089111948e-13
-8.530000000000	2.1878075836559e-14
-8.500000000000	-5.5294407774643e-13
-8.470000000000	-2.2418541016684e-12
-8.440000000000	-8.8783647495144e-13
-8.410000000000	-6.9973457135075e-13
-8.380000000000	-1.8890491459829e-13
-8.350000000000	9.2367290425026e-15
-8.320000000000	-4.8453210646043e-13
-8.290000000000	7.4036139302519e-13
-8.260000000000	1.0686694870988e-12
-8.230000000000	9.5961308012250e-13
-8.200000000000	1.3281154843252e-13
-8.170000000000	2.0550772370278e-13
-8.140000000000	3.3489432156298e-13
-8.110000000000	-3.7917348402767e-13
-8.080000000000	-1.1454557671579e-12
-8.050000000000	-1.0174225625653e-12
-8.020000000000	-6.8291754917996e-13
-7.990000000000	-7.7086207650508e-13
-7.960000000000	-1.1337115673420e-12
-7.930000000000	-1.3606592776436e-12
-7.900000000000	-5.3520838901576e-13
-7.870000000000	1.3459872985012e-13
-7.840000000000	-1.2916188982472e-13
-7.810000000000	5.8808737014429e-13
-7.780000000000	1.0641827940908e-13
-7.750000000000	-1.3191839443133e-12
-7.720000000000	-1.9607479454293e-12
-7.690000000000	-6.7353894947074e-13
-7.660000000000	-5.3346429879185e-13
-7.630000000000	-1.8680088839057e-12
-7.600000000000	-8.4992512363932e-13
-7.570000000000	-8.5461063375960e-13
-7.540000000000	-5.0630169443524e-13
-7.510000000000	-1.3764069709999e-12
-7.480000000000	-1.5346616024389e-12
-7.450000000000	-7.8851734647678e-13
-7.420000000000	-5.2569670268513e-13
-7.390000000000	-1.1198444887926e-12
-7.360000000000	-2.2828024781462e-13
-7.330000000000	-6.7893719935437e-13
-7.300000000000	-2.9073056189899e-13
-7.270000000000	-9.5076996198902e-13
-7.240000000000	-9.1840904758822e-13
-7.210000000000	-8.0839810787735e-13
-7.180000000000	-6.8571627039314e-13
-7.150000000000	-1.6952159197642e-12
-7.120000000000	-1.5247786176547e-12
-7.090000000000	-6.6025546155762e-13
-7.060000000000	2.7591123388365e-13
-7.030000000000	-1.9466494608919e-12
-7.000000000000	-1.6042036539665e-12
-6.970000000000	-9.7864879016028e-14
-6.940000000000	-4.2925986697985e-13
-6.910000000000	-9.3268941874310e-13
-6.880000000000	-9.4750792132761e-13
-6.850000000000	-9.0831066956914e-13
-6.820000000000	-3.3265890050152e-13
-6.790000000000	-1.9802231045921e-12
-6.760000000000	-7.9294683130016e-13
-6.730000000000	-5.7450344336631e-13
-6.700000000000	-3.9501936807362e-13
-6.670000000000	7.8180941379061e-13
-6.640000000000	4.0875309173602e-13
-6.610000000000	1.1124339601755e-12
-6.580000000000	-4.9371775961901e-13
-6.550000000000	6.8959396571871e-13
-6.520000000000	-8.4615625666397e-13
-6.490000000000	-1.9977953242843e-13
-6.460000000000	-4.1818617781167e-13
-6.430000000000	6.5934148659268e-13
-6.400000000000	1.5963424274824e-12
-6.370000000000	6.6102290743463e-14
-6.340000000000	3.0603328729974e-13
-6.310000000000	-9.3172235671561e-13
-6.280000000000	-1.4657840994145e-13
-6.250000000000	2.5883928374192e-13
-6.220000000000	4.9220668728342e-13
-6.190000000000	-1.8962613607545e-13
-6.160000000000	-1.4152130053618e-12
-6.130000000000	1.3392203058666e-13
-6.100000000000	5.5521987708924e-13
-6.070000000000	2.0107355198973e-13
-6.040000000000	-1.7947011324199e-13
-6.010000000000	9.6048280387722e-14
-5.980000000000	-8.8420065059748e-13
-5.950000000000	3.8643293080517e-13
-5.920000000000	-6.1147842785520e-13
-5.890000000000	-7.9385913577408e-13
-5.860000000000	-6.5885511721132e-13
-5.830000000000	-1.6032342104261e-12
-5.800000000000	-1.7417279271264e-12
-5.770000000000	-8.5309770142155e-13
-5.740000000000	-5.3575811957289e-13
-5.710000000000	-9.2806973547202e-13
-5.680000000000	-1.0590809486841e-12
-5.650000000000	-4.3175623729197e-13
-5.620000000000	-4.6319747666058e-13
-5.590000000000	-1.5654619873851e-12
-5.560000000000	-2.0086686890271e-12
-5.530000000000	-9.3856178916694e-13
-5.500000000000	-1.3625822317653e-12
-5.470000000000	-1.5372469385536e-12
-5.440000000000	-1.7975320056764e-12
-5.410000000000	-2.6781519766389e-13
-5.380000000000	-2.4037713713820e-13
-5.350000000000	-1.4633118353608e-12
-5.320000000000	-1.5643425843589e-12
-5.290000000000	-4.4224062482840e-13
-5.260000000000	-6.2596343790187e-13
-5.230000000000	-1.2329191162564e-12
-5.200000000000	-7.3724182460423e-13
-5.170000000000	-3.3439589239575e-13
-5.140000000000	1.9606275614702e-14
-5.110000000000	-2.5624627451953e-13
-5.080000000000	-6.7514099233720e-13
-5.050000000000	-8.3838174758314e-13
-5.020000000000	-7.1443751686351e-13
-4.990000000000	-6.9436517159109e-13
-4.960000000000	-1.4128606616856e-12
-4.930000000000	-1.0048821053111e-12
-4.900000000000	-9.7866603258681e-13
-4.870000000000	-1.3180367252194e-12
-4.840000000000	-5.5797798385020e-13
-4.810000000000	-3.9993269908584e-13
-4.780000000000	-6.1268084491610e-13
-4.750000000000	-3.2261696647248e-13
-4.720000000000	-3.9902231266280e-13
-4.690000000000	-1.0299004605410e-13
-4.660000000000	-2.4919002481845e-13
-4.630000000000	-5.1515252203690e-13
-4.600000000000	6.1749940991998e-14
-4.570000000000	6.5688379974613e-13
-4.540000000000	-4.1530297555984e-13
-4.510000000000	-6.5639496806105e-14
-4.480000000000	-2.1969222679862e-13
-4.450000000000	4.2969345070781e-13
-4.420000000000	1.6827314950019e-12
-4.390000000000	9.5777068521288e-14
-4.360000000000	-8.7029896576598e-14
-4.330000000000	1.2032846738539e-12
-4.300000000000	2.0738053207236e-12
-4.270000000000	2.3432717758750e-12
-4.240000000000	2.7076384654664e-12
-4.210000000000	1.4531945945078e-12
-4.180000000000	1.3612992428367e-12
-4.150000000000	1.0104956694204e-12
-4.120000000000	4.4354192665006e-13
-4.090000000000	1.1130517046941e-12
-4.060000000000	1.4466145340633e-12
-4.030000000000	5.9439574031077e-13
-4.000000000000	-7.5421004534961e-13
-3.970000000000	1.2733568542697e-12
-3.940000000000	1.4440869596559e-12
-3.910000000000	6.7158419572050e-13
-3.880000000000	2.4059682555210e-13
-3.850000000000	5.6443521512243e-13
-3.820000000000	1.1570111218932e-12
-3.790000000000	4.7038823415920e-13
-3.760000000000	7.8174813828725e-13
-3.730000000000	-1.0641592165906e-13
-3.700000000000	6.3569038590095e-13
-3.670000000000	5.2232604703780e-13
-3.640000000000	-5.8578734270513e-14
-3.610000000000	1.1595139617723e-12
-3.580000000000	2.1884817139466e-12
-3.550000000000	2.2983030286467e-12
-3.520000000000	-4.7961851423926e-13
-3.490000000000	3.1193252341954e-13
-3.460000000000	3.8686648561749e-13
-3.430000000000	2.0204501356608e-13
-3.400000000000	1.5679768074304e-12
-3.370000000000	3.8140091828493e-12
-3.340000000000	7.7973214993169e-12
-3.310000000000	1.3989680263497e-11
-3.280000000000	2.5841889339638e-11
-3.250000000000	4.7682785910740e-11
-3.220000000000	8.8165980103567e-11
-3.190000000000	1.6072255359770e-10
-3.160000000000	2.9329908214774e-10
-3.130000000000	5.3526032140844e-10
-3.100000000000	9.6748138012316e-10
-3.070000000000	1.7444732663452e-09
-3.040000000000	3.1248939089597e-09
-3.010000000000	5.5705512907554e-09
-2.980000000000	9.8717989153514e-09
-2.950000000000	1.7399022889998e-08
-2.920000000000	3.0493065323549e-08
-2.890000000000	5.3142851800391e-08
-2.860000000000	9.2102806415104e-08
-2.830000000000	1.5873249039106e-07
-2.800000000000	2.7203378072276e-07
-2.770000000000	4.6360950804824e-07
-2.740000000000	7.8568521121015e-07
-2.710000000000	1.3240714147980e-06
-2.680000000000	2.2189256962784e-06
-2.650000000000	3.6977800754891e-06
-2.620000000000	6.1278223479169e-06
-2.590000000000	1.0098065046190e-05
-2.560000000000	1.6547667650018e-05
-2.530000000000	2.6965088643185e-05
-2.500000000000	4.3695149168919e-05
-2.470000000000	7.0409413649311e-05
-2.440000000000	1.1282210725075e-04
-2.410000000000	1.7977259302263e-04
-2.380000000000	2.8485141353792e-04
-2.350000000000	4.4882673602700e-04
-2.320000000000	7.0324123588207e-04
-2.290000000000	1.0957084724353e-03
-2.260000000000	1.6976595698714e-03
-2.230000000000	2.6155974142769e-03
-2.200000000000	4.0073355664023e-03
-2.170000000000	6.1052696363463e-03
-2.140000000000	9.2494971295056e-03
-2.110000000000	1.3934626643615e-02
-2.080000000000	2.0875471914698e-02
-2.050000000000	3.1098599100583e-02
-2.020000000000	4.6068992902968e-02
-1.990000000000	6.7864052860787e-02
-1.960000000000	9.9410867330494e-02
-1.930000000000	1.4480739795543e-01
-1.900000000000	2.0975401244739e-01
-1.870000000000	3.0212890461249e-01
-1.840000000000	4.3274950916733e-01
-1.810000000000	6.1637220642213e-01
-1.780000000000	8.7299452930657e-01
-1.750000000000	1.2295377769834e+00
-1.720000000000	1.7220033505429e+00
-1.690000000000	2.3982130641419e+00
-1.660000000000	3.3212617740230e+00
-1.630000000000	4.5738293019095e+00
-1.600000000000	6.2635169209917e+00
-1.570000000000	8.5293904062133e+00
-1.540000000000	1.1549925240231e+01
-1.510000000000	1.5552558029919e+01
-1.480000000000	2.0825049139987e+01
-1.450000000000	2.7728852224474e+01
-1.420000000000	3.6714663648850e+01
-1.390000000000	4.8340285449991e+01
-1.360000000000	6.3290876135339e+01
-1.330000000000	8.2401581107221e+01
-1.300000000000	1.0668242610265e+02
-1.270000000000	1.3734522084975e+02
-1.240000000000	1.7583205543261e+02
-1.210000000000	2.2384477950367e+02
-1.180000000000	2.8337463739033e+02
-1.150000000000	3.5673099563106e+02
-1.120000000000	4.4656785160735e+02
-1.090000000000	5.5590656371412e+02
-1.060000000000	6.8815300891331e+02
-1.030000000000	8.4710716931769e+02
-1.000000000000	1.0369629947812e+03
-0.970000000000	1.2622963040741e+03
-0.940000000000	1.5280384944227e+03
-0.910000000000	1.8394339485701e+03
-0.880000000000	2.2019792783097e+03
-0.850000000000	2.6213429377809e+03
-0.820000000000	3.1032642868759e+03
-0.790000000000	3.6534318852809e+03
-0.760000000000	4.2773416419959e+03
-0.730000000000	4.9801364140959e+03
-0.700000000000	5.7664297111791e+03
-0.670000000000	6.6401172763427e+03
-0.640000000000	7.6041814282052e+03
-0.610000000000	8.6604941004471e+03
-0.580000000000	9.8096254386430e+03
-0.550000000000	1.1050665539604e+04
-0.520000000000	1.2381067378727e+04
-0.490000000000	1.3796519105386e+04
-0.460000000000	1.5290853646301e+04
-0.430000000000	1.6856002909435e+04
-0.400000000000	1.8482002814431e+04
-0.370000000000	2.0157053901495e+04
-0.340000000000	2.1867640426324e+04
-0.310000000000	2.3598708697174e+04
-0.280000000000	2.5333903038526e+04
-0.250000000000	2.7055855281949e+04
-0.220000000000	2.8746521211552e+04
-0.190000000000	3.0387555060575e+04
-0.160000000000	3.1960711099336e+04
-0.130000000000	3.3448259697107e+04
-0.100000000000	3.4833404089458e+04
-0.070000000000	3.6100683521660e+04
-0.040000000000	3.7236348520824e+04
-0.010000000000	3.8228694791903e+04
0.020000000000	3.9068343615314e+04
0.050000000000	3.9748458588755e+04
0.080000000000	4.0264891010457e+04
0.110000000000	4.0616249023405e+04
0.140000000000	4.0803888686244e+04
0.170000000000	4.0831828249472e+04
0.200000000000	4.0706589935115e+04
0.230000000000	4.0436976291131e+04
0.260000000000	4.0033790581778e+04
0.290000000000	3.9509512570037e+04
0.320000000000	3.8877942367221e+04
0.350000000000	3.8153825722448e+04
0.380000000000	3.7352474191928e+04
0.410000000000	3.6489393091937e+04
0.440000000000	3.5579929059342e+04
0.470000000000	3.4638947506049e+04
0.500000000000	3.3680548365337e+04
0.530000000000	3.2717826407678e+04
0.560000000000	3.1762680174422e+04
0.590000000000	3.0825671359121e+04
0.620000000000	2.9915934367178e+04
0.650000000000	2.9041133897508e+04
0.680000000000	2.8207466787095e+04
0.710000000000	2.7419703090272e+04
0.740000000000	2.6681260455002e+04
0.770000000000	2.5994305312115e+04
0.800000000000	2.5359874193659e+04
0.830000000000	2.4778008609922e+04
0.860000000000	2.4247897295303e+04
0.890000000000	2.3768020226621e+04
0.920000000000	2.3336289565401e+04
0.950000000000	2.2950183519776e+04
0.980000000000	2.2606870007056e+04
1.010000000000	2.2303317876016e+04
1.040000000000	2.2036394277808e+04
1.070000000000	2.1802947524713e+04
1.100000000000	2.1599875424513e+04
1.130000000000	2.1424179612272e+04
1.160000000000	2.1273006816155e+04
1.190000000000	2.1143678292030e+04
1.220000000000	2.1033708851081e+04
1.250000000000	2.0940816997840e+04
1.280000000000	2.0862927707520e+04
