#Parameters = {cpw=15; sigma_z=0.4; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
# Total transverse dipolar wake, y-plane
# RF/BPM beta factors are dimensionless: sum(beta_i/<beta>)
#"s / mm"	"W_perp_total [V/pC/m]"
#------------------------
-10.000000000000	-1.6736715167662e-13
-9.970000000000	-4.5351404959205e-13
-9.940000000000	1.4975739814510e-13
-9.910000000000	3.4680512853530e-13
-9.880000000000	-3.0749753589811e-13
-9.850000000000	3.6580121500637e-14
-9.820000000000	-2.7811649198790e-13
-9.790000000000	-6.8918333970488e-14
-9.760000000000	4.8526853544324e-13
-9.730000000000	2.1961663205188e-13
-9.700000000000	4.0117521017814e-13
-9.670000000000	6.8102896826302e-13
-9.640000000000	6.7319814087533e-13
-9.610000000000	9.0958842053433e-13
-9.580000000000	4.3669927433851e-13
-9.550000000000	2.2711861335003e-13
-9.520000000000	4.0102757566254e-13
-9.490000000000	3.0163748436617e-13
-9.460000000000	7.9238547553238e-13
-9.430000000000	8.9539463098453e-13
-9.400000000000	2.2476296981672e-13
-9.370000000000	4.4202057964040e-13
-9.340000000000	2.8561764681744e-13
-9.310000000000	4.0866881837026e-13
-9.280000000000	8.0830015835835e-13
-9.250000000000	6.7047268512824e-13
-9.220000000000	1.6905165516110e-13
-9.190000000000	7.4931124771982e-13
-9.160000000000	5.4476751961403e-13
-9.130000000000	6.9151695038064e-13
-9.100000000000	7.1086579997847e-13
-9.070000000000	2.2841309876631e-13
-9.040000000000	6.8613803266025e-13
-9.010000000000	-3.5578264485058e-14
-8.980000000000	-2.4513079790527e-13
-8.950000000000	-4.8396382994611e-13
-8.920000000000	-2.5423383093293e-13
-8.890000000000	-7.4855704916873e-13
-8.860000000000	-9.8709148573621e-13
-8.830000000000	2.3111844444966e-13
-8.800000000000	-6.2279584116002e-13
-8.770000000000	-4.4969532837623e-14
-8.740000000000	-3.2323729810537e-15
-8.710000000000	-2.8009389057866e-13
-8.680000000000	-2.7657208505308e-13
-8.650000000000	-2.6050339538390e-13
-8.620000000000	-1.5212228509480e-13
-8.590000000000	1.3354421884278e-13
-8.560000000000	-2.2556124400500e-14
-8.530000000000	-7.4422891122228e-13
-8.500000000000	-5.1600851299283e-13
-8.470000000000	-1.2915950159589e-12
-8.440000000000	-4.3622204027142e-13
-8.410000000000	-5.2365033389856e-13
-8.380000000000	-5.0601019780196e-13
-8.350000000000	-5.8690210841247e-13
-8.320000000000	-8.6754834531846e-13
-8.290000000000	-2.9154857704226e-13
-8.260000000000	8.0980879493753e-14
-8.230000000000	7.9307516235412e-13
-8.200000000000	-1.3047963795277e-13
-8.170000000000	-2.9849252193169e-13
-8.140000000000	-1.5536826191916e-13
-8.110000000000	-4.0327561030901e-13
-8.080000000000	-5.9476069080749e-13
-8.050000000000	-8.0034250010182e-13
-8.020000000000	-1.0820369477706e-12
-7.990000000000	-6.8828167536757e-13
-7.960000000000	-8.5780462965438e-13
-7.930000000000	-1.1473435673362e-12
-7.900000000000	-5.3424275986504e-13
-7.870000000000	-3.9399220007441e-14
-7.840000000000	-7.5475664294658e-14
-7.810000000000	2.7108089179524e-13
-7.780000000000	8.1207387646005e-14
-7.750000000000	-1.4706914204948e-13
-7.720000000000	-5.6575682827161e-13
-7.690000000000	-5.1429242011645e-13
-7.660000000000	-6.0507274001204e-13
-7.630000000000	-1.2197227658908e-12
-7.600000000000	-2.8532995749225e-13
-7.570000000000	-9.3880042388661e-13
-7.540000000000	-1.1458104421750e-12
-7.510000000000	-1.1203269367812e-12
-7.480000000000	-1.4175094731190e-12
-7.450000000000	-1.2258980878433e-12
-7.420000000000	-9.2025767479722e-13
-7.390000000000	-1.1081293864248e-12
-7.360000000000	1.1970062610872e-13
-7.330000000000	-5.3685789713360e-13
-7.300000000000	-5.7372064073847e-13
-7.270000000000	-1.3219404674548e-12
-7.240000000000	-7.3632012051730e-13
-7.210000000000	-4.7115410120275e-13
-7.180000000000	-6.9189002595305e-13
-7.150000000000	-1.2673973268447e-12
-7.120000000000	-7.5980433205189e-13
-7.090000000000	-1.0066667107669e-12
-7.060000000000	-2.0328870877864e-13
-7.030000000000	-9.7273136736049e-13
-7.000000000000	-1.0296936249702e-12
-6.970000000000	-8.2071092526205e-13
-6.940000000000	-6.2478112800312e-13
-6.910000000000	-2.9467096852402e-13
-6.880000000000	-1.0510669966550e-13
-6.850000000000	-7.4617745971897e-13
-6.820000000000	-2.9245749777819e-13
-6.790000000000	-5.9545268849797e-13
-6.760000000000	1.4692671003136e-13
-6.730000000000	-5.4306246658199e-13
-6.700000000000	-3.6269929192692e-13
-6.670000000000	7.0507404936571e-13
-6.640000000000	2.9359983909651e-13
-6.610000000000	6.0485373421023e-13
-6.580000000000	-9.2985974191933e-13
-6.550000000000	8.0411007225470e-13
-6.520000000000	-4.5608290109708e-13
-6.490000000000	-1.8861857381612e-13
-6.460000000000	-4.8711041459378e-13
-6.430000000000	3.8062345824545e-13
-6.400000000000	9.0600287529582e-13
-6.370000000000	-4.4613204757758e-13
