#Parameters = {cpw=15; sigma_z=0.4; wakelength=200; xbeam=0; xtest=0; ybeam=0; ytest=0}
#"s / mm"	"Z [Real Part]"
#------------------------
-10.000000000000	1.5588782652629e-12
-9.970000000000	1.4358059774065e-12
-9.940000000000	3.5741284442752e-13
-9.910000000000	-1.9810177724944e-13
-9.880000000000	3.1367713500572e-13
-9.850000000000	1.1042628869533e-12
-9.820000000000	8.3963228764748e-13
-9.790000000000	-2.3595874503041e-14
-9.760000000000	-1.0006514924555e-12
-9.730000000000	-6.8748075024485e-13
-9.700000000000	2.9755548931343e-14
-9.670000000000	1.1423781833958e-12
-9.640000000000	1.4746887206064e-12
-9.610000000000	7.2905242578905e-13
-9.580000000000	3.2223001714188e-13
-9.550000000000	5.7339658436161e-13
-9.520000000000	8.3767439179208e-13
-9.490000000000	1.5956505866674e-12
-9.460000000000	1.2569449476925e-12
-9.430000000000	8.0572253479311e-13
-9.400000000000	6.8777268157042e-13
-9.370000000000	4.9776777830600e-13
-9.340000000000	8.7353606174178e-13
-9.310000000000	5.0531542394597e-13
-9.280000000000	7.6605565424141e-13
-9.250000000000	7.4192097072682e-13
-9.220000000000	6.5994981174083e-14
-9.190000000000	4.7239778508958e-13
-9.160000000000	5.0788608749592e-13
-9.130000000000	4.3890194319831e-13
-9.100000000000	1.2936585971355e-13
-9.070000000000	3.0791421539060e-13
-9.040000000000	3.3911309526372e-13
-9.010000000000	1.3990801310952e-12
-8.980000000000	2.3694931644390e-12
-8.950000000000	2.2000752771085e-12
-8.920000000000	1.4421504553428e-12
-8.890000000000	6.2569412728408e-13
-8.860000000000	7.8708355507909e-14
-8.830000000000	-1.7116310086468e-13
-8.800000000000	4.7557957767768e-13
-8.770000000000	2.0561090028636e-13
-8.740000000000	-5.6919447156465e-13
-8.710000000000	-2.8581077656271e-13
-8.680000000000	-1.0490107444408e-13
-8.650000000000	4.7777198177325e-13
-8.620000000000	8.9664329075235e-13
-8.590000000000	9.1702973057718e-13
-8.560000000000	7.7792124364740e-13
-8.530000000000	6.5767213729576e-13
-8.500000000000	6.4138019831691e-13
-8.470000000000	6.4607675389696e-13
-8.440000000000	-6.7300583210416e-14
-8.410000000000	-6.3046991894338e-13
-8.380000000000	-1.0687180346074e-12
-8.350000000000	-2.0687948073405e-12
-8.320000000000	-1.1864967727239e-12
-8.290000000000	-8.2864773275303e-13
-8.260000000000	-2.5819409519348e-13
-8.230000000000	3.2171077170738e-13
-8.200000000000	2.3521503296262e-13
-8.170000000000	3.7549445265214e-13
-8.140000000000	6.7434062093495e-13
-8.110000000000	7.4768547314712e-13
-8.080000000000	4.4626619849837e-13
-8.050000000000	2.8256553981739e-13
-8.020000000000	-6.2157423974536e-14
-7.990000000000	2.5190587529112e-13
-7.960000000000	3.3293698180993e-13
-7.930000000000	2.3167273234040e-13
-7.900000000000	-9.0346395048151e-14
-7.870000000000	-1.4914408205125e-12
-7.840000000000	-2.0247771357432e-12
-7.810000000000	-2.1521426351763e-12
-7.780000000000	-5.1531751616223e-13
-7.750000000000	-1.0641047696274e-13
-7.720000000000	9.5667412676771e-13
-7.690000000000	1.3827484402421e-12
-7.660000000000	1.8474080611811e-12
-7.630000000000	1.0581742041881e-12
-7.600000000000	1.8192899387410e-12
-7.570000000000	1.1139900269019e-12
-7.540000000000	-1.9402058780914e-13
-7.510000000000	-2.0572297668332e-14
-7.480000000000	-4.5383770953056e-13
-7.450000000000	1.0662752009178e-12
-7.420000000000	6.3122690727999e-13
-7.390000000000	-1.4524535554663e-13
-7.360000000000	-1.2569815658894e-12
-7.330000000000	-1.6180127454098e-12
-7.300000000000	-3.5391445076518e-14
-7.270000000000	1.0656174916843e-12
-7.240000000000	2.0906705547085e-12
-7.210000000000	1.5620178692558e-12
-7.180000000000	2.4570855486210e-12
-7.150000000000	1.3021284307821e-12
-7.120000000000	1.3650239459303e-12
-7.090000000000	4.2633963307530e-13
-7.060000000000	-4.5869105622509e-13
-7.030000000000	-3.7504237029144e-13
-7.000000000000	-4.4471165501899e-13
-6.970000000000	3.9183943362022e-13
-6.940000000000	6.7478399802871e-13
-6.910000000000	6.4866154531073e-13
-6.880000000000	-7.9963801534013e-13
-6.850000000000	-3.6244994726818e-13
-6.820000000000	-6.2655354200930e-13
-6.790000000000	-8.7126075770609e-13
