# Freq(GHz) Re(Z) Im(Z)
0.000000e+00 -2.589576e-08 -6.504431e+04
1.250313e-02 3.754034e+06 4.543412e+06
2.500625e-02 2.596907e+06 3.390218e+06
3.750938e-02 2.094708e+06 2.893490e+06
5.001250e-02 1.800084e+06 2.604880e+06
6.251563e-02 1.605725e+06 2.416913e+06
7.501875e-02 1.460245e+06 2.278081e+06
8.752188e-02 1.345453e+06 2.170160e+06
1.000250e-01 1.252380e+06 2.084157e+06
1.125281e-01 1.175587e+06 2.014644e+06
1.250313e-01 1.109987e+06 1.956485e+06
1.375344e-01 1.052973e+06 1.907058e+06
1.500375e-01 1.002920e+06 1.864727e+06
1.625406e-01 9.586661e+05 1.828332e+06
1.750438e-01 9.190941e+05 1.796720e+06
1.875469e-01 8.832568e+05 1.768932e+06
2.000500e-01 8.508638e+05 1.744664e+06
2.125531e-01 8.212889e+05 1.723283e+06
2.250563e-01 7.941268e+05 1.704358e+06
2.375594e-01 7.691714e+05 1.687668e+06
2.500625e-01 7.462647e+05 1.673043e+06
2.625656e-01 7.260511e+05 1.660993e+06
2.750688e-01 7.085239e+05 1.651506e+06
2.875719e-01 6.923936e+05 1.643383e+06
3.000750e-01 6.776633e+05 1.636611e+06
3.125781e-01 6.641638e+05 1.630994e+06
3.250813e-01 6.517712e+05 1.626398e+06
3.375844e-01 6.404325e+05 1.622756e+06
3.500875e-01 6.301243e+05 1.620028e+06
3.625906e-01 6.208890e+05 1.618216e+06
3.750938e-01 6.125692e+05 1.617164e+06
3.875969e-01 6.051086e+05 1.616800e+06
4.001000e-01 5.984787e+05 1.617076e+06
4.126032e-01 5.927267e+05 1.617986e+06
4.251063e-01 5.877980e+05 1.619489e+06
4.376094e-01 5.836304e+05 1.621505e+06
4.501125e-01 5.802728e+05 1.624059e+06
4.626157e-01 5.777239e+05 1.627086e+06
4.751188e-01 5.759063e+05 1.630531e+06
4.876219e-01 5.748055e+05 1.634359e+06
5.001250e-01 5.744147e+05 1.638539e+06
5.126282e-01 5.753152e+05 1.643072e+06
5.251313e-01 5.788415e+05 1.647709e+06
5.376344e-01 5.833653e+05 1.652574e+06
5.501375e-01 5.885854e+05 1.657681e+06
5.626407e-01 5.946904e+05 1.663118e+06
5.751438e-01 6.015077e+05 1.668761e+06
5.876469e-01 6.090170e+05 1.674562e+06
6.001500e-01 6.173299e+05 1.680600e+06
6.126532e-01 6.264780e+05 1.686787e+06
6.251563e-01 6.363387e+05 1.693062e+06
6.376594e-01 6.470665e+05 1.699547e+06
6.501625e-01 6.585359e+05 1.706077e+06
6.626657e-01 6.709231e+05 1.712685e+06
6.751688e-01 6.841582e+05 1.719375e+06
6.876719e-01 6.981795e+05 1.726046e+06
7.001750e-01 7.131550e+05 1.732819e+06
7.126782e-01 7.290633e+05 1.739497e+06
7.251813e-01 7.459569e+05 1.746219e+06
7.376844e-01 7.637377e+05 1.752843e+06
7.501875e-01 7.825367e+05 1.759435e+06
7.626907e-01 8.025123e+05 1.765786e+06
7.751938e-01 8.242440e+05 1.771049e+06
7.876969e-01 8.476741e+05 1.775201e+06
8.002001e-01 8.722713e+05 1.779213e+06
8.127032e-01 8.981861e+05 1.782963e+06
8.252063e-01 9.253800e+05 1.786534e+06
8.377094e-01 9.538214e+05 1.789811e+06
8.502126e-01 9.836960e+05 1.792863e+06
8.627157e-01 1.015147e+06 1.795476e+06
8.752188e-01 1.048207e+06 1.797825e+06
8.877219e-01 1.082817e+06 1.799726e+06
9.002251e-01 1.119207e+06 1.801244e+06
9.127282e-01 1.157681e+06 1.802193e+06
9.252313e-01 1.198127e+06 1.802620e+06
9.377344e-01 1.240715e+06 1.802512e+06
9.502376e-01 1.285558e+06 1.801718e+06
9.627407e-01 1.333320e+06 1.800204e+06
9.752438e-01 1.383744e+06 1.797883e+06
9.877469e-01 1.437125e+06 1.794741e+06
1.000250e+00 1.493794e+06 1.790684e+06
1.012753e+00 1.554522e+06 1.785401e+06
1.025256e+00 1.619146e+06 1.778497e+06
1.037759e+00 1.687792e+06 1.769032e+06
1.050263e+00 1.761349e+06 1.757810e+06
1.062766e+00 1.841392e+06 1.744803e+06
1.075269e+00 1.927819e+06 1.729954e+06
1.087772e+00 2.021554e+06 1.713093e+06
1.100275e+00 2.123817e+06 1.693907e+06
1.112778e+00 2.237319e+06 1.671618e+06
1.125281e+00 2.362500e+06 1.646252e+06
1.137784e+00 2.501365e+06 1.617291e+06
1.150288e+00 2.656801e+06 1.584011e+06
1.162791e+00 2.835317e+06 1.544961e+06
1.175294e+00 3.038924e+06 1.499749e+06
1.187797e+00 3.273594e+06 1.447087e+06
1.200300e+00 3.548474e+06 1.385186e+06
1.212803e+00 3.883651e+06 1.309961e+06
1.225306e+00 4.290892e+06 1.219625e+06
1.237809e+00 4.796776e+06 1.109921e+06
1.250313e+00 5.446684e+06 9.741761e+05
1.262816e+00 6.352988e+06 7.979887e+05
1.275319e+00 7.640684e+06 5.734966e+05
1.287822e+00 9.605467e+06 2.900530e+05
1.300325e+00 1.301451e+07 -2.249770e+04
1.312828e+00 2.166803e+07 5.203583e+05
1.325331e+00 4.990966e+07 2.651475e+07
1.337834e+00 -1.194006e+07 4.230474e+07
1.350338e+00 -1.932123e+07 1.431737e+07
1.362841e+00 -1.181955e+07 8.297530e+06
1.375344e+00 -8.223340e+06 6.117917e+06
1.387847e+00 -6.162206e+06 5.046598e+06
1.400350e+00 -4.844511e+06 4.426756e+06
1.412853e+00 -3.959330e+06 4.040266e+06
1.425356e+00 -3.293733e+06 3.762603e+06
1.437859e+00 -2.775029e+06 3.553987e+06
1.450363e+00 -2.360729e+06 3.392349e+06
1.462866e+00 -2.028019e+06 3.266005e+06
1.475369e+00 -1.747163e+06 3.161276e+06
1.487872e+00 -1.506487e+06 3.072840e+06
1.500375e+00 -1.298106e+06 2.997215e+06
1.512878e+00 -1.117889e+06 2.932453e+06
1.525381e+00 -9.573408e+05 2.875045e+06
1.537884e+00 -8.134854e+05 2.823819e+06
1.550388e+00 -6.844788e+05 2.778157e+06
1.562891e+00 -5.684901e+05 2.737061e+06
1.575394e+00 -4.619859e+05 2.699138e+06
1.587897e+00 -3.636736e+05 2.663876e+06
1.600400e+00 -2.726109e+05 2.630939e+06
1.612903e+00 -1.884920e+05 2.600129e+06
1.625406e+00 -1.096770e+05 2.570850e+06
1.637909e+00 -3.556918e+04 2.542871e+06
1.650413e+00 3.426301e+04 2.516047e+06
1.662916e+00 9.991291e+04 2.490298e+06
1.675419e+00 1.622713e+05 2.465308e+06
1.687922e+00 2.216482e+05 2.440961e+06
1.700425e+00 2.782507e+05 2.417171e+06
1.712928e+00 3.321244e+05 2.393930e+06
1.725431e+00 3.837838e+05 2.371042e+06
1.737934e+00 4.334038e+05 2.348442e+06
1.750438e+00 4.810891e+05 2.326077e+06
1.762941e+00 5.268436e+05 2.303942e+06
1.775444e+00 5.710233e+05 2.281947e+06
1.787947e+00 6.137144e+05 2.260037e+06
1.800450e+00 6.549126e+05 2.239156e+06
1.812953e+00 6.946096e+05 2.218740e+06
1.825456e+00 7.331388e+05 2.198356e+06
1.837959e+00 7.705172e+05 2.177935e+06
1.850463e+00 8.067720e+05 2.157451e+06
1.862966e+00 8.418559e+05 2.136876e+06
1.875469e+00 8.759754e+05 2.116217e+06
1.887972e+00 9.091929e+05 2.095479e+06
1.900475e+00 9.414850e+05 2.074611e+06
1.912978e+00 9.728024e+05 2.053587e+06
1.925481e+00 1.003296e+06 2.032414e+06
1.937984e+00 1.033009e+06 2.011102e+06
1.950488e+00 1.061955e+06 1.989649e+06
1.962991e+00 1.090055e+06 1.968003e+06
1.975494e+00 1.117432e+06 1.946179e+06
1.987997e+00 1.144104e+06 1.924175e+06
2.000500e+00 1.170078e+06 1.901995e+06
2.013003e+00 1.195321e+06 1.879632e+06
2.025506e+00 1.219909e+06 1.857079e+06
2.038010e+00 1.243852e+06 1.834337e+06
2.050513e+00 1.267354e+06 1.811551e+06
2.063016e+00 1.290934e+06 1.789117e+06
2.075519e+00 1.313940e+06 1.766530e+06
2.088022e+00 1.336343e+06 1.743754e+06
2.100525e+00 1.358128e+06 1.720781e+06
2.113028e+00 1.379247e+06 1.697597e+06
2.125531e+00 1.399784e+06 1.674228e+06
2.138035e+00 1.419770e+06 1.650703e+06
2.150538e+00 1.439177e+06 1.627006e+06
2.163041e+00 1.457943e+06 1.603109e+06
2.175544e+00 1.476145e+06 1.579040e+06
2.188047e+00 1.493788e+06 1.554803e+06
2.200550e+00 1.510858e+06 1.530398e+06
2.213053e+00 1.527337e+06 1.505848e+06
2.225556e+00 1.543267e+06 1.481143e+06
2.238060e+00 1.558649e+06 1.456289e+06
2.250563e+00 1.573465e+06 1.431283e+06
2.263066e+00 1.587667e+06 1.406121e+06
2.275569e+00 1.601339e+06 1.380837e+06
2.288072e+00 1.614496e+06 1.355450e+06
2.300575e+00 1.627122e+06 1.329925e+06
2.313078e+00 1.639818e+06 1.303983e+06
2.325581e+00 1.652261e+06 1.277813e+06
