# Freq(GHz) Re(Z) Im(Z)
0.000000e+00 -1.312465e-08 3.436844e+04
1.250313e-02 3.757771e+06 4.065893e+06
2.500625e-02 2.604372e+06 2.911009e+06
3.750938e-02 2.105886e+06 2.412398e+06
5.001250e-02 1.814951e+06 2.121711e+06
6.251563e-02 1.624243e+06 1.931442e+06
7.501875e-02 1.482374e+06 1.790118e+06
8.752188e-02 1.371144e+06 1.679513e+06
1.000250e-01 1.281577e+06 1.590637e+06
1.125281e-01 1.208217e+06 1.518031e+06
1.250313e-01 1.145975e+06 1.456592e+06
1.375344e-01 1.092239e+06 1.403700e+06
1.500375e-01 1.045377e+06 1.357720e+06
1.625406e-01 1.004201e+06 1.317464e+06
1.750438e-01 9.676020e+05 1.281813e+06
1.875469e-01 9.346252e+05 1.249808e+06
2.000500e-01 9.049720e+05 1.221147e+06
2.125531e-01 8.779870e+05 1.195172e+06
2.250563e-01 8.532774e+05 1.171485e+06
2.375594e-01 8.306295e+05 1.149868e+06
2.500625e-01 8.098728e+05 1.130146e+06
2.625656e-01 7.905500e+05 1.111877e+06
2.750688e-01 7.727696e+05 1.095164e+06
2.875719e-01 7.562083e+05 1.079661e+06
3.000750e-01 7.408605e+05 1.065360e+06
3.125781e-01 7.265177e+05 1.052043e+06
3.250813e-01 7.130785e+05 1.039609e+06
3.375844e-01 7.004821e+05 1.027992e+06
3.500875e-01 6.886958e+05 1.017155e+06
3.625906e-01 6.777175e+05 1.007085e+06
3.750938e-01 6.674173e+05 9.976543e+05
3.875969e-01 6.577309e+05 9.887932e+05
4.001000e-01 6.486196e+05 9.804584e+05
4.126032e-01 6.400808e+05 9.726339e+05
4.251063e-01 6.320925e+05 9.653008e+05
4.376094e-01 6.245838e+05 9.583839e+05
4.501125e-01 6.175927e+05 9.519154e+05
4.626157e-01 6.110621e+05 9.458214e+05
4.751188e-01 6.049522e+05 9.400682e+05
4.876219e-01 5.992391e+05 9.346267e+05
5.001250e-01 5.939038e+05 9.294719e+05
5.126282e-01 5.890308e+05 9.246629e+05
5.251313e-01 5.845923e+05 9.201670e+05
5.376344e-01 5.804924e+05 9.158979e+05
5.501375e-01 5.767126e+05 9.118330e+05
5.626407e-01 5.733716e+05 9.080662e+05
5.751438e-01 5.703444e+05 9.044843e+05
5.876469e-01 5.675992e+05 9.010488e+05
6.001500e-01 5.652306e+05 8.978464e+05
6.126532e-01 5.631915e+05 8.947994e+05
